Enrichment analysis report,,,,,,,,,
Enrichment by Pathway Maps,,,,,up_genes_070120_genelist,,,,
#,Maps,Total,pValue,Min FDR,p-value,FDR,In Data,"Network Objects from
Active Data",
695,Development_Astrocyte differentiation (general schema),28,5.555E-01,8.706E-01,5.555E-01,8.706E-01,1,STAT3,
696,The role of aberrations in CDKN2 locus and CDK4 in familial melanoma,28,5.555E-01,8.706E-01,5.555E-01,8.706E-01,1,Rb protein,
697,Pro-oncogenic action of Androgen receptor in ovarian cancer,28,5.555E-01,8.706E-01,5.555E-01,8.706E-01,1,Androgen receptor,
698,Development_Delta-type opioid receptor signaling via G-protein alpha-14,28,5.555E-01,8.706E-01,5.555E-01,8.706E-01,1,STAT3,
699,Immune response_CD40 signaling,65,5.570E-01,8.706E-01,5.570E-01,8.706E-01,2,"STAT3, p38 MAPK",
700,Ovarian cancer (main signaling cascades),65,5.570E-01,8.706E-01,5.570E-01,8.706E-01,2,"Androgen receptor, ESR1 (nuclear)",
701,Role of Tissue factor-induced Thrombin signaling in cancerogenesis,65,5.570E-01,8.706E-01,5.570E-01,8.706E-01,2,"Coagulation factor VII, MLCK",
702,Renal tubulointerstitial injury in Lupus Nephritis ,65,5.570E-01,8.706E-01,5.570E-01,8.706E-01,2,"MHC class II, CCR5",
703,Signal transduction_PDGF signaling via JAK-STAT and reactive oxygen species (ROS),66,5.653E-01,8.706E-01,5.653E-01,8.706E-01,2,"STAT3, Bcl-2",
704,Hedgehog signaling in gastric cancer,29,5.682E-01,8.706E-01,5.682E-01,8.706E-01,1,Islet-1,
705,Pro-oncogenic action of PTHrP in breast cancer,29,5.682E-01,8.706E-01,5.682E-01,8.706E-01,1,Bcl-2,
706,Suppression of TGF-beta signaling in pancreatic cancer,29,5.682E-01,8.706E-01,5.682E-01,8.706E-01,1,p38 MAPK,
707,Cholesterol and Sphingolipid transport / Recycling to plasma membrane in lung (normal and CF),29,5.682E-01,8.706E-01,5.682E-01,8.706E-01,1,ABCG1,
708,Abnormalities in cell cycle in SCLC,29,5.682E-01,8.706E-01,5.682E-01,8.706E-01,1,Rb protein,
709,EZH2 in Prostate Cancer,29,5.682E-01,8.706E-01,5.682E-01,8.706E-01,1,PGE2R3,
710,Prostate Cancer: candidate susceptibility genes in inflammatory pathways,29,5.682E-01,8.706E-01,5.682E-01,8.706E-01,1,IL8RA,
711,Eosinophil survival in asthma,67,5.735E-01,8.706E-01,5.735E-01,8.706E-01,2,"p38 MAPK, Bcl-2",
712,ErbB2-induced breast cancer cell invasion,67,5.735E-01,8.706E-01,5.735E-01,8.706E-01,2,"PDCD4, p38 MAPK",
713,Role of neuropeptides in pathogenesis of SCLC,67,5.735E-01,8.706E-01,5.735E-01,8.706E-01,2,"CCK8, GRP-R",
714,B-regulatory cells and tumor cells intercellular interaction,67,5.735E-01,8.706E-01,5.735E-01,8.706E-01,2,"STAT3, p38 MAPK",
715,Development_Growth factors in regulation of oligodendrocyte progenitor cell proliferation,67,5.735E-01,8.706E-01,5.735E-01,8.706E-01,2,"KV1.6, FGFR1",
716,Muscle contraction_S1P2 receptor-mediated smooth muscle contraction,30,5.805E-01,8.706E-01,5.805E-01,8.706E-01,1,MLCK,
717,"Regulation of lipid metabolism_RXR-dependent regulation of lipid metabolism via PPAR, RAR and VDR",30,5.805E-01,8.706E-01,5.805E-01,8.706E-01,1,HMGCS2,
718,Cell adhesion_Gap junctions,30,5.805E-01,8.706E-01,5.805E-01,8.706E-01,1,Tubulin alpha,
719,Fatty Acid Omega Oxidation,30,5.805E-01,8.706E-01,5.805E-01,8.706E-01,1,ADH7,
720,"Immune response_Mast cell proliferation, differentiation and survival",30,5.805E-01,8.706E-01,5.805E-01,8.706E-01,1,STAT3,
721,Inhibition of mast cell functions by Fc gamma RII beta in asthma,30,5.805E-01,8.706E-01,5.805E-01,8.706E-01,1,Fc gamma RII beta,
722,Role of CNTF and LIF in regulation of oligodendrocyte development in multiple sclerosis,30,5.805E-01,8.706E-01,5.805E-01,8.706E-01,1,STAT3,
723,Inter-cellular relations in COPD (general schema),30,5.805E-01,8.706E-01,5.805E-01,8.706E-01,1,IL8RB,
724,Activation of TGF-beta signaling in advanced colorectal cancer,30,5.805E-01,8.706E-01,5.805E-01,8.706E-01,1,p38 MAPK,
725,Putative role of Tregs in COPD,30,5.805E-01,8.706E-01,5.805E-01,8.706E-01,1,STAT3,
726,L-Carnitine biosynthesis,30,5.805E-01,8.706E-01,5.805E-01,8.706E-01,1,SLC22A8,
727,Production of arachidonic acid derivatives by mast cells in asthma,30,5.805E-01,8.706E-01,5.805E-01,8.706E-01,1,PLA2G2D,
728,Signal transduction_mTORC2 downstream signaling,68,5.816E-01,8.706E-01,5.816E-01,8.706E-01,2,"SLC12A1, PREX1",
729,Production of reactive oxygen species and arachidonic acid metabolites by neutrophils in asthma,68,5.816E-01,8.706E-01,5.816E-01,8.706E-01,2,"IL8RA, p38 MAPK",
730,Immune response_TLR2 and TLR4 signaling pathways,69,5.896E-01,8.706E-01,5.896E-01,8.706E-01,2,"Hck, p38 MAPK",
731,Role of microRNAs in cell proliferation in colorectal cancer,69,5.896E-01,8.706E-01,5.896E-01,8.706E-01,2,"Rb protein, RhoB",
732,Sphingolipid metabolism,107,5.923E-01,8.706E-01,5.923E-01,8.706E-01,3,"ACER1, GM3 synthase, DEGS2",
733,Deregulation of canonical WNT signaling in major depressive disorder,31,5.925E-01,8.706E-01,5.925E-01,8.706E-01,1,Tau (MAPT),
734,SHH signaling in colorectal cancer,31,5.925E-01,8.706E-01,5.925E-01,8.706E-01,1,Bcl-2,
735,Development_Inhibition of angiogenesis by PEDF,31,5.925E-01,8.706E-01,5.925E-01,8.706E-01,1,p38 MAPK,
736,Linoleic acid metabolism,31,5.925E-01,8.706E-01,5.925E-01,8.706E-01,1,ALOX15B,
737,"SREBP1 cross-talk with PXR, CAR and LXR/ Rodent version",31,5.925E-01,8.706E-01,5.925E-01,8.706E-01,1,PXR,
738,Fibroblast differentiation to myofibroblasts in asthmatic airways,31,5.925E-01,8.706E-01,5.925E-01,8.706E-01,1,p38 MAPK,
739,Mechanisms of K-RAS addiction in lung cancer cells,31,5.925E-01,8.706E-01,5.925E-01,8.706E-01,1,Bcl-2,
740,Immune response_IL-23 signaling pathway,31,5.925E-01,8.706E-01,5.925E-01,8.706E-01,1,STAT3,
741,Tyrosine metabolism p.1 (dopamine) ,70,5.975E-01,8.706E-01,5.975E-01,8.706E-01,2,"TY3H, ABP1",
742,Retinol metabolism,70,5.975E-01,8.706E-01,5.975E-01,8.706E-01,2,"CYP2A6, Rhodopsin",
743,"Stem cells_Cooperation between Hedgehog, IGF-2 and HGF signaling pathways in medulloblastoma stem cells",32,6.041E-01,8.706E-01,6.041E-01,8.706E-01,1,Bcl-2,
744,Cell cycle_Role of Nek in cell cycle regulation,32,6.041E-01,8.706E-01,6.041E-01,8.706E-01,1,Tubulin alpha,
745,Epithelial cell apoptosis in COPD,32,6.041E-01,8.706E-01,6.041E-01,8.706E-01,1,Bcl-2,
746,"Development_Role of Ceramide 1-phosphate, Sphingosine 1-phosphate and Complement cascade in hematopoietic stem cell homing",32,6.041E-01,8.706E-01,6.041E-01,8.706E-01,1,PGE2R3,
747,Interleukins-induced inflammatory signaling in normal and asthmatic airway epithelium,32,6.041E-01,8.706E-01,6.041E-01,8.706E-01,1,p38 MAPK,
748,Stem cells_Role of ion channels in glioblastoma cell invasion,32,6.041E-01,8.706E-01,6.041E-01,8.706E-01,1,MaxiK alpha subunit,
749,Hedgehog signaling in pancreatic cancer,32,6.041E-01,8.706E-01,6.041E-01,8.706E-01,1,Bcl-2,
750,Protein folding and maturation_Bradykinin / Kallidin maturation,32,6.041E-01,8.706E-01,6.041E-01,8.706E-01,1,Tissue kallikreins,
751,Activation of ACTH production in pituitary gland in major depressive disorder,32,6.041E-01,8.706E-01,6.041E-01,8.706E-01,1,STAT3,
752,Development_H3K4 demethylases in stem cell maintenance,32,6.041E-01,8.706E-01,6.041E-01,8.706E-01,1,FGF4,
753,Apoptosis and survival_IL-17-induced CIKS-dependent MAPK signaling pathways,32,6.041E-01,8.706E-01,6.041E-01,8.706E-01,1,p38 MAPK,
754,Immune response_IL-6 signaling pathway via JAK/STAT,71,6.052E-01,8.706E-01,6.052E-01,8.706E-01,2,"STAT3, CISH",
755,Blood coagulation_GPCRs in platelet aggregation,71,6.052E-01,8.706E-01,6.052E-01,8.706E-01,2,"Alpha-2A adrenergic receptor, Adenylate cyclase",
756,Signal transduction_Adenosine A2B receptor signaling pathway,71,6.052E-01,8.706E-01,6.052E-01,8.706E-01,2,"p38 MAPK, Adenylate cyclase",
757,Angiotensin II Signaling in Cardiac Hypertrophy,72,6.129E-01,8.706E-01,6.129E-01,8.706E-01,2,"Kv4.3 channel, p38 MAPK",
758,Blood coagulation_Platelet microparticle generation,72,6.129E-01,8.706E-01,6.129E-01,8.706E-01,2,"Alpha-2A adrenergic receptor, Glycoprotein VI",
759,G-protein signaling_Regulation of CDC42 activity,33,6.155E-01,8.706E-01,6.155E-01,8.706E-01,1,FGFR1,
760,Role of metalloproteases and heparanase in progression of pancreatic cancer,33,6.155E-01,8.706E-01,6.155E-01,8.706E-01,1,Alpha 1-antitrypsin,
761,G-protein signaling_N-RAS regulation pathway,33,6.155E-01,8.706E-01,6.155E-01,8.706E-01,1,MHC class II,
762,p53 signaling in Prostate Cancer,33,6.155E-01,8.706E-01,6.155E-01,8.706E-01,1,Androgen receptor,
763,"IGF family, invasion and metastasis in colorectal cancer",33,6.155E-01,8.706E-01,6.155E-01,8.706E-01,1,p38 MAPK,
764,Apoptosis and survival_Regulation of Apoptosis by Mitochondrial Proteins,33,6.155E-01,8.706E-01,6.155E-01,8.706E-01,1,Bcl-2,
765,Cell cycle_Spindle assembly and chromosome separation,33,6.155E-01,8.706E-01,6.155E-01,8.706E-01,1,Tubulin alpha,
766,Normal and pathological TGF-beta-mediated regulation of cell proliferation,33,6.155E-01,8.706E-01,6.155E-01,8.706E-01,1,p38 MAPK,
767,Development_Role of PKR1 and ILK in cardiac progenitor cells,33,6.155E-01,8.706E-01,6.155E-01,8.706E-01,1,Islet-1,
768,Signal transduction_Activin A signaling regulation,33,6.155E-01,8.706E-01,6.155E-01,8.706E-01,1,Inhibin alpha subunit,
769,Aspartate and asparagine metabolism,73,6.204E-01,8.706E-01,6.204E-01,8.706E-01,2,"GABT, CPSM",
770,Disruption of epithelial layer restitution in asthma,34,6.264E-01,8.706E-01,6.264E-01,8.706E-01,1,RXRG,
771,Nicotine / Beta-adrenergic signaling in lung cancer,34,6.264E-01,8.706E-01,6.264E-01,8.706E-01,1,Adenylate cyclase,
772,Regulation of CFTR gating (normal and CF),34,6.264E-01,8.706E-01,6.264E-01,8.706E-01,1,Adenylate cyclase,
773,Mechanism of action of CCR4 antagonists in asthma and atopic dermatitis (Variant 1),34,6.264E-01,8.706E-01,6.264E-01,8.706E-01,1,CCL17,
774,CCR4-dependent immune cell chemotaxis in asthma and atopic dermatitis ,34,6.264E-01,8.706E-01,6.264E-01,8.706E-01,1,CCL17,
775,Apoptosis and survival_Role of CDK5 in neuronal death and survival,34,6.264E-01,8.706E-01,6.264E-01,8.706E-01,1,Bcl-2,
776,Development_Histone acetylation in embryonic stem cells,34,6.264E-01,8.706E-01,6.264E-01,8.706E-01,1,SOX2,
777,Role of Apo-2L(TNFSF10) in Prostate Cancer cell apoptosis,34,6.264E-01,8.706E-01,6.264E-01,8.706E-01,1,Bcl-2,
778,Development_CNTF receptor signaling,34,6.264E-01,8.706E-01,6.264E-01,8.706E-01,1,STAT3,
779,Chemotaxis_CCR4-induced chemotaxis of immune cells,34,6.264E-01,8.706E-01,6.264E-01,8.706E-01,1,CCL17,
780,Cannabinoid receptor signaling in nicotine addiction,34,6.264E-01,8.706E-01,6.264E-01,8.706E-01,1,nAChR alpha-4,
781,"Apoptosis and survival_Cytoplasmic/mitochondrial transport of proapoptotic proteins Bid, Bmf and Bim",34,6.264E-01,8.706E-01,6.264E-01,8.706E-01,1,Bcl-2,
782,Role of IFN-beta in inhibition of Th1 cell differentiation in multiple sclerosis,34,6.264E-01,8.706E-01,6.264E-01,8.706E-01,1,MHC class II,
783,L-Phenylalanine metabolism,74,6.278E-01,8.706E-01,6.278E-01,8.706E-01,2,"SLC7A8, GLYATL1",
784,Immune response_IL-6 signaling pathway via MEK/ERK and PI3K/AKT cascades,74,6.278E-01,8.706E-01,6.278E-01,8.706E-01,2,"STAT3, Hck",
785,Catecholamine metabolism,75,6.351E-01,8.706E-01,6.351E-01,8.706E-01,2,"TY3H, SULT1A1",
786,Role of osteoblasts in bone lesions formation in multiple myeloma,35,6.371E-01,8.706E-01,6.371E-01,8.706E-01,1,CCR5,
787,Production and activation of TGF-beta in airway smooth muscle cells,35,6.371E-01,8.706E-01,6.371E-01,8.706E-01,1,Tryptase,
788,G-protein signaling_S1P2 receptor signaling pathway,35,6.371E-01,8.706E-01,6.371E-01,8.706E-01,1,Adenylate cyclase,
789,Autophagy_Autophagy,35,6.371E-01,8.706E-01,6.371E-01,8.706E-01,1,Bcl-2,
790,Development_Angiopoietin - Tie2 signaling,35,6.371E-01,8.706E-01,6.371E-01,8.706E-01,1,STAT3,
791,Altered Ca2+ handling in heart failure,35,6.371E-01,8.706E-01,6.371E-01,8.706E-01,1,Adenylate cyclase,
792,NF-kB pathway in multiple myeloma,35,6.371E-01,8.706E-01,6.371E-01,8.706E-01,1,Bcl-2,
793,Th2 cytokine- and TNF-alpha-induced inflammatory response in asthmatic airway fibroblasts,35,6.371E-01,8.706E-01,6.371E-01,8.706E-01,1,G-CSF,
794,Anti-apoptotic action of Gastrin in gastric cancer,35,6.371E-01,8.706E-01,6.371E-01,8.706E-01,1,Bcl-2,
795,Estrone metabolism,35,6.371E-01,8.706E-01,6.371E-01,8.706E-01,1,HSD17B1,
796,Mechanisms of CAM-DR in multiple myeloma,35,6.371E-01,8.706E-01,6.371E-01,8.706E-01,1,STAT3,
797,Immune response_TLR ligands,35,6.371E-01,8.706E-01,6.371E-01,8.706E-01,1,SP-A,
798,Extracellular matrix-regulated proliferation of airway smooth muscle cells in asthma,35,6.371E-01,8.706E-01,6.371E-01,8.706E-01,1,p38 MAPK,
799,Keratan sulfate metabolism p.1,35,6.371E-01,8.706E-01,6.371E-01,8.706E-01,1,CHST1,
800,Langerhans cell migration to lymph nodes in allergic contact dermatitis,35,6.371E-01,8.706E-01,6.371E-01,8.706E-01,1,CCL17,
801,"Signal transduction_Angiotensin II/AGTR1 signaling via Notch, Beta-catenin and NF-kB pathways",76,6.423E-01,8.706E-01,6.423E-01,8.706E-01,2,"p38 MAPK, YAP1 (YAp65)",
802,"Immune response_IL-5 signaling via PI3K, MAPK and NF-kB",76,6.423E-01,8.706E-01,6.423E-01,8.706E-01,2,"Fc gamma RII beta, p38 MAPK",
803,IGF-1 signaling in pancreatic cancer,36,6.475E-01,8.706E-01,6.475E-01,8.706E-01,1,STAT3,
804,Cigarette smoke components TCDD and Benzo[a]pyrene and receptor AHR signaling in lung epithelial cells,36,6.475E-01,8.706E-01,6.475E-01,8.706E-01,1,Mucin 5AC,
805,Higher ESR1 / ESR2 ratio in breast cancer,36,6.475E-01,8.706E-01,6.475E-01,8.706E-01,1,ESR1 (nuclear),
806,G-protein signaling_Rac2 regulation pathway,36,6.475E-01,8.706E-01,6.475E-01,8.706E-01,1,PREX1,
807,Endothelial cell apoptosis in COPD,36,6.475E-01,8.706E-01,6.475E-01,8.706E-01,1,Bcl-2,
808,HBV signaling via protein kinases leading to HCC,36,6.475E-01,8.706E-01,6.475E-01,8.706E-01,1,Androgen receptor,
809,Immune response_HMGB1/TLR signaling pathway,36,6.475E-01,8.706E-01,6.475E-01,8.706E-01,1,p38alpha (MAPK14),
810,Development_Hedgehog and PTH signaling pathways in bone and cartilage development,36,6.475E-01,8.706E-01,6.475E-01,8.706E-01,1,Bone sialoprotein,
811,"Development_Lipoxin inhibitory action on PDGF, EGF and LTD4 signaling",36,6.475E-01,8.706E-01,6.475E-01,8.706E-01,1,Adenylate cyclase,
812,CHDI_Correlations from Discovery data_Causal network (positive),36,6.475E-01,8.706E-01,6.475E-01,8.706E-01,1,STAT3,
813,Blood coagulation_GPIb-IX-V-dependent platelet activation,77,6.494E-01,8.706E-01,6.494E-01,8.706E-01,2,"p38alpha (MAPK14), Glycoprotein VI",
814,Immune response_IFN-alpha/beta signaling via MAPKs,77,6.494E-01,8.706E-01,6.494E-01,8.706E-01,2,"ZNF145, p38 MAPK",
815,Development_Growth factors in regulation of oligodendrocyte precursor cell survival,37,6.576E-01,8.706E-01,6.576E-01,8.706E-01,1,Bcl-2,
816,FGFR3 signaling in multiple myeloma,37,6.576E-01,8.706E-01,6.576E-01,8.706E-01,1,STAT3,
817,Development_Negative feedback regulation of WNT/Beta-catenin signaling,37,6.576E-01,8.706E-01,6.576E-01,8.706E-01,1,ZNF703,
818,G-protein signaling_Regulation of p38 and JNK signaling mediated by G-proteins,37,6.576E-01,8.706E-01,6.576E-01,8.706E-01,1,p38 MAPK,
819,A shift in alveolar macrophage phenotype in COPD,37,6.576E-01,8.706E-01,6.576E-01,8.706E-01,1,MHC class II,
820,Immune response_Oncostatin M signaling via MAPK,37,6.576E-01,8.706E-01,6.576E-01,8.706E-01,1,p38 MAPK,
821,"Leucine, isoleucine and valine metabolism.p.2",79,6.632E-01,8.706E-01,6.632E-01,8.706E-01,2,"GABT, HMGCS2",
822,CHDI_Correlations from Replication data_Causal network (positive correlations),79,6.632E-01,8.706E-01,6.632E-01,8.706E-01,2,"MHC class II, p38 MAPK",
823,L-Arginine metabolism,79,6.632E-01,8.706E-01,6.632E-01,8.706E-01,2,"CPSM, ABP1",
824,G-protein signaling_G-Protein alpha-12 signaling pathway,38,6.674E-01,8.706E-01,6.674E-01,8.706E-01,1,p38 MAPK,
825,Activation of Ca2+-dependent neuronal cell death in Huntington's disease,38,6.674E-01,8.706E-01,6.674E-01,8.706E-01,1,p38 MAPK,
826,Cell cycle_Regulation of G1/S transition (part 1),38,6.674E-01,8.706E-01,6.674E-01,8.706E-01,1,PP2A regulatory,
827,Immune response_Role of integrins in NK cells cytotoxicity,38,6.674E-01,8.706E-01,6.674E-01,8.706E-01,1,p38 MAPK,
828,Insulin-like growth factor family signaling in melanoma,38,6.674E-01,8.706E-01,6.674E-01,8.706E-01,1,p38 MAPK,
829,wtCFTR and deltaF508-CFTR traffic / Generic schema (normal and CF),38,6.674E-01,8.706E-01,6.674E-01,8.706E-01,1,EBP50,
830,HDL dyslipidemia in type 2 diabetes and metabolic syndrome X,38,6.674E-01,8.706E-01,6.674E-01,8.706E-01,1,ABCG1,
831,Development_Oligodendrocyte differentiation (general schema),38,6.674E-01,8.706E-01,6.674E-01,8.706E-01,1,OLIG1,
832,Development_Neural stem cell lineage commitment (schema),38,6.674E-01,8.706E-01,6.674E-01,8.706E-01,1,ATP1A2,
833,IgE-dependent production of pro-inflammatory mediators by neutrophils in asthma,38,6.674E-01,8.706E-01,6.674E-01,8.706E-01,1,p38 MAPK,
834,Role of type 2 innate lymphoid cells in asthma,38,6.674E-01,8.706E-01,6.674E-01,8.706E-01,1,GATA-3,
835,L-Tryptophan metabolism (part 1),80,6.699E-01,8.706E-01,6.699E-01,8.706E-01,2,"SLC7A8, TDO2",
836,B cell signaling in hematological malignancies,80,6.699E-01,8.706E-01,6.699E-01,8.706E-01,2,"STAT3, Bcl-2",
837,Immune response_M-CSF-receptor signaling pathway,81,6.766E-01,8.706E-01,6.766E-01,8.706E-01,2,"STAT3, Hck",
838,Fructose metabolism,81,6.766E-01,8.706E-01,6.766E-01,8.706E-01,2,"SUIS, F16P",
839,Atorvastatin in treatment of type 2 diabetes and metabolic syndrome X,39,6.769E-01,8.706E-01,6.769E-01,8.706E-01,1,OATP-C,
840,HGF signaling in melanoma,39,6.769E-01,8.706E-01,6.769E-01,8.706E-01,1,p38 MAPK,
841,Role of neurotrophins in activation of p53 in major depressive disorder,39,6.769E-01,8.706E-01,6.769E-01,8.706E-01,1,Bcl-2,
842,Keratan sulfate metabolism p.2,39,6.769E-01,8.706E-01,6.769E-01,8.706E-01,1,CHST1,
843,Role of iNKT and B cells in T cell recruitment in allergic contact dermatitis,39,6.769E-01,8.706E-01,6.769E-01,8.706E-01,1,AID,
844,"VLDL, LDL dyslipidemia in type 2 diabetes and metabolic syndrome X",39,6.769E-01,8.706E-01,6.769E-01,8.706E-01,1,APOB48 receptor,
845,Nicotine signaling in GABAergic neurons,39,6.769E-01,8.706E-01,6.769E-01,8.706E-01,1,nAChR alpha-4,
846,Apoptosis and survival_APRIL and BAFF signaling,39,6.769E-01,8.706E-01,6.769E-01,8.706E-01,1,Bcl-2,
847,Immune response_IL-1 signaling pathway,82,6.831E-01,8.706E-01,6.831E-01,8.706E-01,2,"p38alpha (MAPK14), Collagen II",
848,Androgen biosynthetic pathways,82,6.831E-01,8.706E-01,6.831E-01,8.706E-01,2,"AKR1C4, HSD17B1",
849,Neurophysiological process_Delta-type opioid receptor in the nervous system,40,6.861E-01,8.706E-01,6.861E-01,8.706E-01,1,Adenylate cyclase type II,
850,Activation of Cortisol production in major depressive disorder,40,6.861E-01,8.706E-01,6.861E-01,8.706E-01,1,Adenylate cyclase type V,
851,Development_Role of Activin A in cell differentiation and proliferation,40,6.861E-01,8.706E-01,6.861E-01,8.706E-01,1,Adenylate cyclase,
852,Apoptosis and survival_Ceramides signaling pathway,40,6.861E-01,8.706E-01,6.861E-01,8.706E-01,1,Bcl-2,
853,Memory CD8+ T cells in allergic contact dermatitis,40,6.861E-01,8.706E-01,6.861E-01,8.706E-01,1,CCL17,
854,Development_FGF2-induced self-renewal of adult neural stem cells,40,6.861E-01,8.706E-01,6.861E-01,8.706E-01,1,FGFR1,
855,Development_SLIT-ROBO1 signaling,40,6.861E-01,8.706E-01,6.861E-01,8.706E-01,1,PREX1,
856,Role of glycosphingolipids in inhibition of Insulin signaling,40,6.861E-01,8.706E-01,6.861E-01,8.706E-01,1,GM3 synthase,
857,Role of IGH translocations in multiple myeloma,40,6.861E-01,8.706E-01,6.861E-01,8.706E-01,1,Rb protein,
858,Apoptosis and survival_NGF activation of NF-kB,40,6.861E-01,8.706E-01,6.861E-01,8.706E-01,1,Bcl-2,
859,CAR-mediated direct regulation of xenobiotic metabolizing enzymes / Human version,40,6.861E-01,8.706E-01,6.861E-01,8.706E-01,1,CYP2A6,
860,Role of Ghrelin in activation eating behavior in obesity,40,6.861E-01,8.706E-01,6.861E-01,8.706E-01,1,Adenylate cyclase type II,
861,Stem cells_Response to hypoxia in glioblastoma stem cells,40,6.861E-01,8.706E-01,6.861E-01,8.706E-01,1,BMP7,
862,Stem cells_Pancreatic cancer stem cells in tumor metastasis,40,6.861E-01,8.706E-01,6.861E-01,8.706E-01,1,MLCK,
863,Role of Bregs in attenuation of T and NK cells mediated anti-tumor immune responses,41,6.951E-01,8.706E-01,6.951E-01,8.706E-01,1,STAT3,
864,Main growth factor signaling cascades in multiple myeloma cells,41,6.951E-01,8.706E-01,6.951E-01,8.706E-01,1,STAT3,
865,Development_Oxytocin receptor signaling,41,6.951E-01,8.706E-01,6.951E-01,8.706E-01,1,MYOG,
866,Pro-tumoral TNF-alpha signaling in melanoma,41,6.951E-01,8.706E-01,6.951E-01,8.706E-01,1,IL8RB,
867,Possible pathway of TGF-beta 1-dependent inhibition of CFTR expression,41,6.951E-01,8.706E-01,6.951E-01,8.706E-01,1,p38 MAPK,
868,Apoptosis and survival_Phosphorylation and acetylation in TNF-alpha-induced NF-kB signaling,41,6.951E-01,8.706E-01,6.951E-01,8.706E-01,1,p38alpha (MAPK14),
869,Immune response_TLR2-induced platelet activation,41,6.951E-01,8.706E-01,6.951E-01,8.706E-01,1,p38 MAPK,
870,Apoptosis and survival_Phosphorylation in TNF-alpha-induced NF-kB signaling,41,6.951E-01,8.706E-01,6.951E-01,8.706E-01,1,Adenylate cyclase,
871,Apoptosis and survival_Apoptotic TNF-family pathways,42,7.038E-01,8.706E-01,7.038E-01,8.706E-01,1,Bcl-2,
872,Apoptosis and survival_BAD phosphorylation,42,7.038E-01,8.706E-01,7.038E-01,8.706E-01,1,Bcl-2,
873,Transport_ACM3 signaling in salivary glands,42,7.038E-01,8.706E-01,7.038E-01,8.706E-01,1,MLCK,
874,Development_VEGF signaling and activation,42,7.038E-01,8.706E-01,7.038E-01,8.706E-01,1,ESR1 (nuclear),
875,Inhibition of apoptosis in gastric cancer,42,7.038E-01,8.706E-01,7.038E-01,8.706E-01,1,Bcl-2,
876,Transport_HDL-mediated reverse cholesterol transport,42,7.038E-01,8.706E-01,7.038E-01,8.706E-01,1,ABCG1,
877,Apoptosis and survival_Anti-apoptotic TNFs/NF-kB/Bcl-2 pathway,42,7.038E-01,8.706E-01,7.038E-01,8.706E-01,1,Bcl-2,
878,Signal transduction_Angiotensin II/ AGTR1 signaling via TGF-beta 1 and SMADs,42,7.038E-01,8.706E-01,7.038E-01,8.706E-01,1,p38 MAPK,
879,Estrogen biosynthesis,42,7.038E-01,8.706E-01,7.038E-01,8.706E-01,1,HSD17B1,
880,"TNF-alpha, IL-1 beta induce dyslipidemia and inflammation in obesity and type 2 diabetes in adipocytes ",42,7.038E-01,8.706E-01,7.038E-01,8.706E-01,1,Perilipin,
881,Translation_Non-genomic (rapid) action of Androgen Receptor,43,7.123E-01,8.706E-01,7.123E-01,8.706E-01,1,Androgen receptor,
882,Immune response_IL-7 signaling in B lymphocytes,43,7.123E-01,8.706E-01,7.123E-01,8.706E-01,1,STAT3,
883,"Nicotine signaling in dopaminergic neurons, Pt. 2 - axon terminal",43,7.123E-01,8.706E-01,7.123E-01,8.706E-01,1,Adenylate cyclase type V,
884,Cytoskeleton remodeling_Hyaluronic acid/ CD44 signaling pathways,43,7.123E-01,8.706E-01,7.123E-01,8.706E-01,1,MLCK,
885,Immune response_Antimicrobial actions of IFN-gamma,43,7.123E-01,8.706E-01,7.123E-01,8.706E-01,1,SLC26A3 (DRA),
886,Apoptosis and survival_Anti-apoptotic action of Gastrin,43,7.123E-01,8.706E-01,7.123E-01,8.706E-01,1,Bcl-2,
887,Nicotine / nAChR alpha-7 signaling in NSCLC,43,7.123E-01,8.706E-01,7.123E-01,8.706E-01,1,Rb protein,
888,Development_EPO-induced PI3K/AKT pathway and Ca(2+) influx,43,7.123E-01,8.706E-01,7.123E-01,8.706E-01,1,Epo,
889,Role of platelets in the initiation of in-stent restenosis,43,7.123E-01,8.706E-01,7.123E-01,8.706E-01,1,Glycoprotein VI,
890,Immune response_Substance P-stimulated expression of proinflammatory cytokines via MAPKs,43,7.123E-01,8.706E-01,7.123E-01,8.706E-01,1,p38 MAPK,
891,Development_S1P3 receptor signaling pathway,43,7.123E-01,8.706E-01,7.123E-01,8.706E-01,1,Adenylate cyclase,
892,Development_Notch Signaling Pathway,43,7.123E-01,8.706E-01,7.123E-01,8.706E-01,1,MYOD,
893,Role of epigenetic alterations in survival and migration of SCLC cells,43,7.123E-01,8.706E-01,7.123E-01,8.706E-01,1,Bcl-2,
894,Regulation of Tissue factor signaling in cancer,43,7.123E-01,8.706E-01,7.123E-01,8.706E-01,1,Coagulation factor VII,
895,Apoptosis and survival_TNFR1 signaling pathway,43,7.123E-01,8.706E-01,7.123E-01,8.706E-01,1,Bcl-2,
896,Apoptosis and survival_TNF-alpha-induced Caspase-8 signaling,43,7.123E-01,8.706E-01,7.123E-01,8.706E-01,1,PP2A regulatory,
897,Regulation of immune cell differentiation by Notch signaling,43,7.123E-01,8.706E-01,7.123E-01,8.706E-01,1,GATA-3,
898,Cholesterol metabolism,87,7.141E-01,8.706E-01,7.141E-01,8.706E-01,2,"AKR1C4, ACOX2",
