Enrichment analysis report,,,,,,,,,
Enrichment by Pathway Maps,,,,,down_genes_070120_genelist,,,,
#,Maps,Total,pValue,Min FDR,p-value,FDR,In Data,"Network Objects from
Active Data",
76,Inflammatory response in ischemia-reperfusion injury during myocardial infarction,21,5.096E-06,9.435E-05,5.096E-06,9.435E-05,10,"IL-1 beta, ICAM1, CCL2, IL-8, TLR4, IL-6, C3a, P-selectin, TLR2, TNF-alpha",
77,Th2 cytokine- and TNF-alpha-induced inflammatory response in asthmatic airway fibroblasts,35,5.888E-06,1.076E-04,5.888E-06,1.076E-04,13,"COX-2 (PTGS2), ITGB1, VCAM1, ICAM1, CCL2, IL-8, GM-CSF, IL-6, Eotaxin-3, alpha-5/beta-1 integrin, Eotaxin, ITGA5, TNF-alpha",
78,Glucocorticoid-induced elevation of intraocular pressure as glaucoma risk factor,62,5.969E-06,1.077E-04,5.969E-06,1.077E-04,18,"COX-2 (PTGS2), ITGB1, PI3K cat class IA, COL4A1, PLAT (TPA), ITGB3, Elastin, Antileukoproteinase 1, EGFR, WNT2, MMP-2, Actin cytoskeletal, LAMB3, Collagen IV, HGF receptor (Met), Fibronectin, c-Src, MLCK",
79,Macrophage and dendritic cell phenotype shift in cancer,100,7.297E-06,1.300E-04,7.297E-06,1.300E-04,24,"COX-2 (PTGS2), PGE2R2, MFGE8, IL-1 beta, HPRG, IDO1, MHC class II, iNOS, IP10, Activin A, PLGF, IFN-alpha, TLR4, GM-CSF, IL-6, CD137 ligand(TNFSF9), TLR7, Apo-2L(TNFSF10), CSF1, OSF-2, Jagged1, IFN-beta, TLR2, TNF-alpha",
80,Maturation and migration of dendritic cells in skin sensitization,41,8.108E-06,1.426E-04,8.108E-06,1.426E-04,14,"MHC class II alpha chain, IL-1 beta, TNF-R2, HLA-DRB1, MHC class II, ICAM1, HLA-DRB, IL-8, IL-6, CD83, HLA-DRA1, HLA-DRB5, MHC class II beta chain, TNF-alpha",
81,Type 2 diabetes (general schema),14,8.249E-06,1.433E-04,8.249E-06,1.433E-04,8,"IL-1 beta, Glucagon, CCL2, GLP-1 (7-36) amide, IL-6, GLP-1 (7-37), GIP, TNF-alpha",
82,E-cadherin signaling and its regulation in gastric cancer,36,8.455E-06,1.451E-04,8.455E-06,1.451E-04,13,"HGF, WNT, SLUG, EGFR, SIP1 (ZFHX1B), FGF1, TWIST1, HGF receptor (Met), c-Src, TCF8, Actin, BMP2, Frizzled",
83,Development_Role of proteases in hematopoietic stem cell mobilization,18,9.305E-06,1.569E-04,9.305E-06,1.569E-04,9,"VCAM1, alpha-4/beta-1 integrin, CD44, MMP-14, MMP-2, alpha-5/beta-1 integrin, DPP4, Fibronectin, MMP-9",
84,Cytoskeleton remodeling_Regulation of actin cytoskeleton organization by the kinase effectors of Rho GTPases,58,9.367E-06,1.569E-04,9.367E-06,1.569E-04,17,"Actomyosin, PAK, Rac1-related, Cdc42 subfamily, RhoJ, MSN (moesin), ERM proteins, F-Actin cytoskeleton, MRLC, Myosin II, Caldesmon, Actin cytoskeletal, Rac2, CPI-17, MyHC, MLCK, Cofilin",
85,Eosinophil chemotaxis in asthma,64,9.759E-06,1.615E-04,9.759E-06,1.615E-04,18,"NGF, Secretoneurin, S1P1 receptor, NGFR(TNFRSF16), TrkA, CCL20, IP10, Eotaxin-2, IL-8, G-protein alpha-i family, GM-CSF, HTR2A, Eotaxin-3, VIP, Eotaxin, C3a, PI3K reg class IB (p101), CCL7",
86,Regulation of mast cell survival in asthma,47,9.945E-06,1.627E-04,9.945E-06,1.627E-04,15,"Syk, NGF, TNF-R2, TrkA, GM-CSF, FasR(CD95), IL-6, BFL1, STAT5, alpha-5/beta-1 integrin, FasL(TNFSF6), Apo-2L(TNFSF10), AKT(PKB), Fibronectin, TNF-alpha",
87,Role of IFN-beta in the improvement of blood-brain barrier integrity in multiple sclerosis,27,1.098E-05,1.762E-04,1.098E-05,1.762E-04,11,"sVCAM1, TNF-R2, VCAM1, ITGA4, alpha-4/beta-1 integrin, ICAM1, sICAM1, 5'-NTD, IFN-beta, MMP-9, TNF-alpha",
88,FAK1 signaling in melanoma,42,1.115E-05,1.762E-04,1.115E-05,1.762E-04,14,"ITGB1, ARCGAP22, B-Raf, PKC-alpha, ITGB3, MMP-14, MMP-2, alpha-5/beta-1 integrin, Actin cytoskeletal, Caveolin-1, ITGA5, Fibronectin, c-Src, PLAU (UPA)",
89,Development_TGF-beta family mediated differentiation of embryonic stem cells,42,1.115E-05,1.762E-04,1.115E-05,1.762E-04,14,"SOX1, Activin A, Oct-3/4, TGF-beta receptor type II, BMP4, CRIPTO, SOX17, Mixl1, Nestin, TAZ, Lefty-2, HOXA1, HNF3-beta, PAX6",
90,Immune response_Inhibitory PD-1 signaling in T cells,53,1.127E-05,1.762E-04,1.127E-05,1.762E-04,16,"Syk, MHC class II, PI3K cat class IA, PD-L2, PKC-theta, ICAM1, ZAP70, CD3, Cyclin E, T-bet, CD3 zeta, p15, PD-1, FYB1, AKT(PKB), PD-L1",
91,Role of activation of WNT signaling in the progression of lung cancer,77,1.187E-05,1.820E-04,1.187E-05,1.820E-04,20,"iNOS, RUNX3, Oct-3/4, DKK3, NKD1, Tcf(Lef), SFRP2, WNT, FZD5, WNT2, Axin2, WNT3, Matrilysin (MMP-7), FZD9, SFRP1, FZD7, Axin, SFRP5, Frizzled, WNT1",
92,Development_Early embryonal hypaxial myogenesis,37,1.196E-05,1.820E-04,1.196E-05,1.820E-04,13,"PKC, PTCH1, WNT7A, BMP4, Adenylate cyclase, WNT11, MSX1, GLI-1, FZD7, Frizzled, GLI-2, Paraxis, WNT6",
93,Immunological synapse between dendritic and CD8+ T cells in allergic contact dermatitis,32,1.203E-05,1.820E-04,1.203E-05,1.820E-04,12,"PD-L2, ICAM1, RANKL(TNFSF11), CD70(TNFSF7), PD-1, CTLA-4, CD137 ligand(TNFSF9), OX40(TNFRSF4), CD137(TNFRSF9), ICOS, RANK(TNFRSF11A), PD-L1",
94,Role of Tissue factor-induced Thrombin signaling in cancerogenesis,65,1.236E-05,1.851E-04,1.236E-05,1.851E-04,18,"GRO-1, MMP-13, PKC-alpha, IL-8, EGFR, G-protein alpha-i family, MRLC, MMP-2, Angiopoietin 1, Actin cytoskeletal, PAR1, AKT(PKB), G-protein alpha-q/11, Tissue factor, MELC, c-Src, P-selectin, MLCK",
95,Development_Schema: Embryonal cardiomyogenesis,8,1.323E-05,1.944E-04,1.323E-05,1.944E-04,6,"WNT 8A, WNT11, Jagged1, SFRP5, BMP2, WNT1",
96,Protein folding and maturation_Angiotensin system maturation,48,1.326E-05,1.944E-04,1.326E-05,1.944E-04,15,"MC-CPA, Angiotensin I, Neprilysin, AGTR2, Angiotensin (1-7), Angiotensin (1-9), Angiotensin III, Angiotensin (2-10), Angiotensinogen, Angiotensin IV, MMP-8, Angiotensin II, Kallikrein 1, ACE2, CD13",
97,Eosinophil granule protein release in asthma,54,1.468E-05,2.107E-04,1.468E-05,2.107E-04,16,"FPRL1, NGF, cPKC (conventional), PKC, PKC-alpha, GM-CSF, IL-33, CRLF2, Eotaxin, TSLP, ECP (RNase 3), C3a, FPR, NT-3, TNF-alpha, TSLPR",
98,Th17 cells in CF,54,1.468E-05,2.107E-04,1.468E-05,2.107E-04,16,"IL-1 beta, MHC class II, CCL20, VCAM1, GRO-1, GCP2, ICAM1, LBP, IL23A, IL-8, IL-17F, TGF-beta receptor type II, TLR4, GM-CSF, MD-2, IL-6",
99,Role of cell adhesion in vaso-occlusion in Sickle cell disease,43,1.517E-05,2.156E-04,1.517E-05,2.156E-04,14,"IL-1 beta, IL-1 alpha, VCAM1, ITGB2, alpha-4/beta-1 integrin, ICAM1, CD44, CD3, IL-8, iC3b, Fc gamma RII alpha, Fibronectin, P-selectin, TNF-alpha",
100,Tumor-stroma interactions in pancreatic cancer,28,1.661E-05,2.278E-04,1.661E-05,2.278E-04,11,"HGF, PTCH1, MMP-2, alpha-5/beta-1 integrin, FGF2, COL1A2, GLI-1, OSF-2, HGF receptor (Met), Fibronectin, PDGF-R-beta",
101,Putative pathways of activation of classical complement system in major depressive disorder,28,1.661E-05,2.278E-04,1.661E-05,2.278E-04,11,"IL-1 beta, C6, C3, C4B protein, C3b, C4b, IL-6, C7, C4A protein, C4, TNF-alpha",
102,Role of TGF-beta 1 in fibrosis development after myocardial infarction,38,1.668E-05,2.278E-04,1.668E-05,2.278E-04,13,"Biglycan, AGTR2, Tenascin-C, TGF-beta receptor type II, MMP-2, ACTA2, COL1A2, CTGF, Angiotensin II, Fibronectin, MMP-9, EDNRA, Collagen III",
103,Neutrophil chemotaxis in asthma,38,1.668E-05,2.278E-04,1.668E-05,2.278E-04,13,"GRO-2, FPRL1, GRO-1, CCL2, PLGF, IL-8, G-protein alpha-i family, Tissue kallikreins, ENA-78, PI3K reg class IB (p101), GRO-3, TLR2, CCL7",
104,Breakdown of CD4+ T cell peripheral tolerance in type 1 diabetes mellitus,49,1.752E-05,2.371E-04,1.752E-05,2.371E-04,15,"HLA-DRB1, MHC class II, STAT4, ZAP70, CD3, T-bet, STAT5, PD-1, CTLA-4, PTPN22, ICOS, LAT, HLA-DQA1, IL-2R alpha chain, PD-L1",
105,Role of CD8+ Tc1 cells in COPD,44,2.040E-05,2.708E-04,2.040E-05,2.708E-04,14,"CD69, IL-15, IL-18R1, IP10, IL-18, STAT4, CCL2, Antileukoproteinase 1, T-bet, KLRK1 (NKG2D), Cathepsin S, MMP-9, Perforin, TNF-alpha",
106,Inhibition of remyelination in multiple sclerosis: regulation of cytoskeleton proteins,44,2.040E-05,2.708E-04,2.040E-05,2.708E-04,14,"Tubulin beta, Myelin basic protein, NGFR(TNFRSF16), PKC-alpha, MRLC, Tubulin beta 4, Myosin II, TGF-beta, Actin cytoskeletal, Fyn, MELC, Fibronectin, Cofilin, TNF-alpha",
107,Hedgehog signaling in breast cancer,24,2.198E-05,2.890E-04,2.198E-05,2.890E-04,10,"Osteopontin, PTCH1, Cyclin E, Cyr61, MMP-2, PTHrP, GLI-1, MMP-9, MDR1, GLI-2",
108,Immune response_Differentiation and clonal expansion of CD8+ T cells,39,2.295E-05,2.963E-04,2.295E-05,2.963E-04,13,"MHC class II, ICAM1, STAT4, IFN-alpha, T-bet, CD70(TNFSF7), CD137 ligand(TNFSF9), OX40(TNFRSF4), FasL(TNFSF6), CD137(TNFRSF9), IFN-beta, Perforin, IL-12RB2",
109,Protein folding and maturation_Posttranslational processing of neuroendocrine peptides,50,2.295E-05,2.963E-04,2.295E-05,2.963E-04,15,"PAM, Trypsin, LargeNN, GRP(1-27), NT, GRP(18-27), PC1, GRP(1-27)Gly, GRP precursor, PCSK5, LargeNT, GRP(1-17), NN, NT/NN, ProGRP",
110,Development_YAP/TAZ-mediated co-regulation of transcription,56,2.435E-05,3.114E-04,2.435E-05,3.114E-04,16,"p63, RUNX2, ITGB2, TBX5, Oct-3/4, UFO, CDX2, SLUG, SIP1 (ZFHX1B), Cyr61, HBP17, TAZ, CTGF, TWIST1, UCA1, CDK6",
111,Immune response_IL-10 signaling pathway,62,2.473E-05,3.135E-04,2.473E-05,3.135E-04,17,"COX-2 (PTGS2), IL-1 beta, MHC class II, PI3K cat class IA, IL-1 alpha, iNOS, ICAM1, IRS-2, IL-8, GM-CSF, CRP2, IL-6, STAT5, AKT(PKB), Fc gamma RII alpha, MMP-9, TNF-alpha",
112,Differentiation of Th2 cells in asthma,45,2.716E-05,3.413E-04,2.716E-05,3.413E-04,14,"Histamine H1 receptor, MHC class II, PI3K cat class IA, CCL20, IP10, CCL2, CD3, GM-CSF, OX40(TNFRSF4), AKT(PKB), Histamine H2 receptor, TSLP, Jagged1, TSLPR",
113,SLE genetic marker-specific pathways in T cells,101,2.800E-05,3.487E-04,2.800E-05,3.487E-04,23,"HLA-DRB1, MHC class II, Ikaros, PKC-theta, TCR beta subunit, CalDAG-GEFIII, RUNX3, STAT4, ZAP70, CD3, HLA-DRB, IFN-alpha, ETS1, T-bet, CD3 zeta, PD-1, OX40(TNFRSF4), PTPN22, MHC class II beta chain, LAT, KLRK1 (NKG2D), A20, IFN-beta",
114,Immune response_TLR2 and TLR4 signaling pathways,69,3.014E-05,3.688E-04,3.014E-05,3.688E-04,18,"COX-2 (PTGS2), IL-1 beta, TLR1, PI3K cat class IA, Pellino 1, iNOS, Pellino 2, TLR10, IL-8, TLR6, Lyn, TLR4, MD-2, IRAK2, IL-6, AKT(PKB), TLR2, TNF-alpha",
115,Chemotaxis_CXCR3-A signaling,69,3.014E-05,3.688E-04,3.014E-05,3.688E-04,18,"IP10, STAT4, ZAP70, CD3, I-TAC, IL-8, T-bet, MMP-2, STAT5, AKT(PKB), LAT, PF4, PI3K reg class IB (p101), c-Src, MMP-9, PF4V1, PREX2, Perforin",
116,Epigenetic alterations in ovarian cancer,82,3.226E-05,3.913E-04,3.226E-05,3.913E-04,20,"GSTP1, N-cadherin, Maspin, TrkA, HOXA10, OBCAM, AL1A1, MMP-2, SF1, p15, L1TD1, GLI-1, TWIST1, p16INK4, DACT3, Ephrin-A receptor 2, MMP-9, GLI-2, CYP11A1, CDK6",
117,Plasminogen activators signaling in pancreatic cancer,35,3.437E-05,4.064E-04,3.437E-05,4.064E-04,12,"HGF, IL-1 alpha, Fra-1, PLAT (TPA), EGFR, MMP-14, MMP-2, Galectin-1, PLAUR (uPAR), HGF receptor (Met), MMP-9, PLAU (UPA)",
118,Langerhans cell migration to lymph nodes in allergic contact dermatitis,35,3.437E-05,4.064E-04,3.437E-05,4.064E-04,12,"IL-1 beta, TNF-R2, CCL20, alpha-4/beta-1 integrin, ICAM1, CD44, GITRL, Collagen IV, Fibronectin, MMP-9, MDR1, TNF-alpha",
119,Development_WNT and Notch signaling in early cardiac myogenesis,35,3.437E-05,4.064E-04,3.437E-05,4.064E-04,12,"TBX5, WNT, WNT 8A, WNT11, MEF2C, Jagged1, FZD7, SFRP5, TCF7 (TCF1), BMP2, Frizzled, WNT1",
120,Colorectal cancer (general schema),30,3.565E-05,4.165E-04,3.565E-05,4.165E-04,11,"HGF, PTCH1, IL-8, WNT, TGF-beta receptor type II, EGFR, IL-6, HGF receptor (Met), Ephrin-B receptors, Frizzled, TNF-alpha",
121,Dual function of Treg cells in cancer development,46,3.582E-05,4.165E-04,3.582E-05,4.165E-04,14,"COX-2 (PTGS2), ETS1, WNT, Neuropilin-1, IL-6, STAT5, PD-1, CTLA-4, 5'-NTD, OX40(TNFRSF4), FasL(TNFSF6), ICOS, IL-2R alpha chain, Perforin",
122,Immune response_Lysophosphatidic acid signaling via NF-kB,52,3.843E-05,4.422E-04,3.843E-05,4.422E-04,15,"COX-2 (PTGS2), PKD, CCL20, VCAM1, PKC, ICAM1, CCL2, IL-8, MMP-2, IL-6, TSLP, c-Src, GRO-3, A20, MMP-9",
123,CHDI_Correlations from Replication data_Cytoskeleton and adhesion module,64,3.874E-05,4.422E-04,3.874E-05,4.422E-04,17,"MHC class II, ITGB2, ICAM1, ZAP70, CD3, MRLC, PLAUR (uPAR), Actin cytoskeletal, Fyn, AKT(PKB), Collagen IV, MELC, Fibronectin, MyHC, PI3K reg class IB (p101), Ephrin-B receptors, PLAU (UPA)",
124,Role of integrins in eosinophil degranulation in asthma,58,3.928E-05,4.422E-04,3.928E-05,4.422E-04,16,"PI3K cat class IA, VCAM1, PKC, Eotaxin-2, alpha-4/beta-1 integrin, ICAM1, C3b, G-protein alpha-i family, GM-CSF, Eotaxin-3, Eotaxin, Fc gamma RII alpha, Fibronectin, ECP (RNase 3), CCL7, TNF-alpha",
125,TGF-beta signaling via kinase cascades in breast cancer,58,3.928E-05,4.422E-04,3.928E-05,4.422E-04,16,"COX-2 (PTGS2), TGF-beta 2, ITGB1, MMP-13, ADAM12, ITGB3, IL-8, TGF-beta receptor type II, EGFR, MMP-2, TGF-alpha, TWIST1, AKT(PKB), c-Src, MMP-9, TNF-alpha",
126,Pro-tumoral TNF-alpha signaling in melanoma,41,4.192E-05,4.681E-04,4.192E-05,4.681E-04,13,"ITGB1, TNF-R2, PI3K cat class IA, VCAM1, ITGA4, alpha-4/beta-1 integrin, IL-8, MMP-2, alpha-5/beta-1 integrin, AKT(PKB), Fibronectin, MMP-9, TNF-alpha",
127,Development_Role of HGF in hematopoietic stem cell mobilization,21,4.374E-05,4.846E-04,4.374E-05,4.846E-04,9,"HGF, PI3K cat class IA, RECK, MMP-14, MMP-2, SGK1, AKT(PKB), HGF receptor (Met), MMP-9",
128,Inhibition of neutrophil migration by proresolving lipid mediators in COPD,71,4.564E-05,5.017E-04,4.564E-05,5.017E-04,18,"FPRL1, IL-1 beta, TNF-R2, cPKC (conventional), PKC, ITGB2, ICAM1, MSN (moesin), IL-8, G-protein alpha-i family, TLR4, Actin cytoskeletal, Rac2, ICAM2, PI3K reg class IB (p101), FPR, TLR2, TNF-alpha",
129,Immune response_Histamine H1 receptor signaling in immune response,47,4.679E-05,5.104E-04,4.679E-05,5.104E-04,14,"Histamine H1 receptor, VCAM1, MMP-13, iNOS, ICAM1, PKC-alpha, IL-8, cPLA2, GM-CSF, IL-6, G-protein alpha-q/11, Tissue factor, MMP-9, TNF-alpha",
130,Cigarette smoke-induced inflammatory signaling in airway epithelial cells,36,4.733E-05,5.123E-04,4.733E-05,5.123E-04,12,"COX-2 (PTGS2), IL-1 beta, ICAM1, PKC-alpha, IL-8, EGFR, GM-CSF, sICAM1, IL-6, TGF-alpha, c-Src, TNF-alpha",
131,Transcription_Role of VDR in regulation of genes involved in osteoporosis,59,4.941E-05,5.307E-04,4.941E-05,5.307E-04,16,"IL-1 beta, Osteopontin, IL-1 alpha, TRPC3, RUNX2, Fra-1, RANKL(TNFSF11), CDX2, CYP24A1, IL-6, FasL(TNFSF6), Osteoprotegerin, Carbonic anhydrase II, RANK(TNFRSF11A), CALB1, TNF-alpha",
132,Hypoxia-induced EMT in cancer and fibrosis,13,5.262E-05,5.608E-04,5.262E-05,5.608E-04,7,"Lysyl oxidase, ETS1, SLUG, LOXL2, SIP1 (ZFHX1B), TWIST1, TCF8",
133,Common mechanisms of Th17 cell migration,48,6.060E-05,6.316E-04,6.060E-05,6.316E-04,14,"MCAM, CCL20, VCAM1, IP10, alpha-4/beta-1 integrin, CD43, ICAM1, CCL2, I-TAC, G-protein alpha-i family, CCL25, PI3K reg class IB (p101), P-selectin, CCL7",
134,Main genetic and epigenetic alterations in lung cancer,48,6.060E-05,6.316E-04,6.060E-05,6.316E-04,14,"GSTP1, HGF, Neuropilin-2, p14ARF, RECK, TGF-beta receptor type II, EGFR, Neuropilin-1, MMP-2, TGF-alpha, HGF receptor (Met), p16INK4, IBP, IBP3",
135,Cell adhesion_Integrin-mediated cell adhesion and migration,48,6.060E-05,6.316E-04,6.060E-05,6.316E-04,14,"alpha-11/beta-1 integrin, MRLC, alpha-5/beta-1 integrin, Actin cytoskeletal, alpha-1/beta-1 integrin, RASGRF1, Collagen IV, MELC, Fibronectin, MyHC, MYLK1, c-Src, MLCK, Cofilin",
136,Signal transduction_MIF signaling pathway,60,6.177E-05,6.391E-04,6.177E-05,6.391E-04,16,"Syk, COX-2 (PTGS2), PI3K cat class IA, VCAM1, ICAM1, CD44, ZAP70, IL-8, cPLA2, Lyn, G-protein alpha-i family, TLR4, AKT(PKB), SFK, PI3K reg class IB (p101), c-Src",
137,Gamma-secretase regulation of osteogenesis,37,6.431E-05,6.605E-04,6.431E-05,6.605E-04,12,"HEY1, RUNX2, CD44, RANKL(TNFSF11), CD44 soluble, CD44 (EXT), ALPL, CD44 (ICD), Osteoprotegerin, CSF1, Jagged1, RANK(TNFRSF11A)",
138,Origin of Langerhans cells in the steady-state and under inflammatory conditions,22,6.808E-05,6.941E-04,6.808E-05,6.941E-04,9,"IL-1 beta, CCL20, RUNX3, CCL2, IL-34, TGF-beta receptor type II, CSF1, P-selectin, TNF-alpha",
139,Interleukins-induced inflammatory signaling in normal and asthmatic airway epithelium,32,7.103E-05,7.190E-04,7.103E-05,7.190E-04,11,"IL-1 beta, IL-1 alpha, IP10, IFN-alpha, IL-8, GM-CSF, IL-33, IL-6, Eotaxin, TSLP, Fibronectin",
140,ErbB2-induced breast cancer cell invasion,67,7.291E-05,7.261E-04,7.291E-05,7.261E-04,17,"PI3K cat class IA, MMP-13, ITGA4, PKC-alpha, ETS1, NGAL, EGFR, MMP-14, MMP-2, PLAUR (uPAR), Actin cytoskeletal, AKT(PKB), ER81, c-Src, MMP-9, PLAU (UPA), Cofilin",
141,Development_Growth factors in regulation of oligodendrocyte progenitor cell proliferation,67,7.291E-05,7.261E-04,7.291E-05,7.261E-04,17,"HGF, NGF, Myelin basic protein, TrkA, PI3K cat class IA, FGF18, PKC, Tenascin-C, Lyn, EGFR, Fyn, FGF2, PDGF-R-alpha, AKT(PKB), FGF8, HGF receptor (Met), Fibronectin",
142,"NF-kB-, AP-1- and MAPKs-mediated proinflammatory cytokine production by eosinophils in asthma",43,7.328E-05,7.261E-04,7.328E-05,7.261E-04,13,"IL-1 beta, GRO-1, CCL2, IL-8, IL-17F, GM-CSF, IL-33, ENA-78, IL-6, Eotaxin, TSLP, TNF-alpha, TSLPR",
143,Activation of TNF-alpha-dependent pro-tumoral effect in colorectal cancer,49,7.783E-05,7.658E-04,7.783E-05,7.658E-04,14,"COX-2 (PTGS2), PGE2R2, c-IAP2, VCAM1, GRO-1, IP10, alpha-4/beta-1 integrin, ICAM1, CCL2, IL-8, ALDR, IL-6, Axin, TNF-alpha",
144,Immune response_Immunological synapse formation,55,7.869E-05,7.689E-04,7.869E-05,7.689E-04,15,"ITGB1, MHC class II, PI3K cat class IA, VCAM1, PKC-theta, ITGB2, alpha-4/beta-1 integrin, ICAM1, PKC-alpha, ZAP70, CD3, Fyn, FYB1, LAT, GRAP2",
145,Release of pro-inflammatory factors and proteases by alveolar macrophages in asthma,44,9.546E-05,9.120E-04,9.546E-05,9.120E-04,13,"GRO-2, IL-1 beta, GRO-1, iNOS, IP10, CCL2, IL-8, TLR4, GM-CSF, IL-6, MMP-9, TLR2, TNF-alpha",
146,Transcription_HIF-1 targets,95,9.756E-05,9.120E-04,9.756E-05,9.120E-04,21,"TGF-beta 2, Ceruloplasmin, iNOS, Lysyl oxidase, Transferrin, PLGF, Oct-3/4, LOXL2, MMP-2, Galectin-1, PLAUR (uPAR), 5'-NTD, FGF2, CTGF, Alpha-1B adrenergic receptor, IBP1, HGF receptor (Met), MMP-9, Carbonic anhydrase IX, MDR1, IBP3",
147,Role of metalloproteases and heparanase in progression of pancreatic cancer,33,9.787E-05,9.120E-04,9.787E-05,9.120E-04,11,"Heparanase 1, CD44, EGFR, CD44 soluble, MMP-14, MMP-2, CD44 (EXT), Matrilysin (MMP-7), FasL(TNFSF6), Collagen IV, MMP-9",
148,The innate immune response to contact allergens,33,9.787E-05,9.120E-04,9.787E-05,9.120E-04,11,"IL-1 beta, Biglycan, IL-1 alpha, IL-18, CCL2, IL-8, TLR4, IL-6, Caspase-1, TLR2, TNF-alpha",
149,Influence of multiple myeloma cells on bone marrow stromal cells,33,9.787E-05,9.120E-04,9.787E-05,9.120E-04,11,"COX-2 (PTGS2), IL-1 beta, VCAM1, ITGA4, ICAM1, RANKL(TNFSF11), IL-6, FGF2, Osteoprotegerin, RANK(TNFRSF11A), TNF-alpha",
150,SHH signaling in melanoma,33,9.787E-05,9.120E-04,9.787E-05,9.120E-04,11,"N-cadherin, Osteopontin, B-Raf, PTCH1, SLUG, MMP-2, GLI-1, PDGF-R-alpha, Vimentin, MMP-9, GLI-2",
151,Impaired inhibitory action of lipoxins on neutrophil migration in CF,56,9.858E-05,9.120E-04,9.858E-05,9.120E-04,15,"FPRL1, ITGB2, ICAM1, IL-8, G-protein alpha-i family, MRLC, Myosin II, Actin cytoskeletal, Rac2, AKT(PKB), MELC, MYLK1, PI3K reg class IB (p101), MLCK, Cofilin",
152,Immune response_Lectin induced complement pathway,50,9.917E-05,9.120E-04,9.917E-05,9.120E-04,14,"C4a, C1 inhibitor, C6, C3, Factor I, C3b, C3c, C4b, C7, iC3b, C3dg, CD21, C3a, C4",
153,VEGF signaling in multiple myeloma,50,9.917E-05,9.120E-04,9.917E-05,9.120E-04,14,"ITGB1, PI3K cat class IA, VCAM1, alpha-4/beta-1 integrin, ICAM1, PKC-alpha, Semaphorin 3A, Neuropilin-1, IL-6, alpha-5/beta-1 integrin, Caveolin-1, Fibronectin, c-Src, MDR1",
154,Development_NODAL signaling in early mesendoderm formation,23,1.029E-04,9.399E-04,1.029E-04,9.399E-04,9,"Cerberus, Lefty-1, BMP4, CRIPTO, Mixl1, WNT3, CFC1, Lefty-2, HNF3-beta",
155,Role of Th17 cells in asthma,28,1.049E-04,9.525E-04,1.049E-04,9.525E-04,10,"GRO-2, VCAM1, GRO-1, ICAM1, IL-8, IL-17F, EGFR, MRLC, Myosin II, GRO-3",
156,HGF signaling in melanoma,39,1.145E-04,1.019E-03,1.145E-04,1.019E-03,12,"HGF, N-cadherin, PI3K cat class IA, B-Raf, Desmoglein 1, CD44, PKC-alpha, SLUG, TWIST1, AKT(PKB), HGF receptor (Met), Fibronectin",
157,Immune response_TSLP signalling,39,1.145E-04,1.019E-03,1.145E-04,1.019E-03,12,"PI3K cat class IA, IL7RA, STAT4, CCL2, IL-8, IL-6, STAT5, CRLF2, Eotaxin, AKT(PKB), TSLP, TSLPR",
158,FGF2 signaling in melanoma,39,1.145E-04,1.019E-03,1.145E-04,1.019E-03,12,"PI3K cat class IA, B-Raf, Heparanase 1, Fra-1, MMP-2, FGF2, Caveolin-1, Collagen IV, SPRY2, Fibronectin, c-Src, Syndecan-2",
159,Development_Negative regulation of WNT/Beta-catenin signaling at the receptor level,45,1.232E-04,1.090E-03,1.232E-04,1.090E-03,13,"DKK4, Sclerostin, NOTUM, LRP4, Tcf(Lef), WNT, Syndecans, TIKI, SFRP, c-Src, APCDD1, Axin, Frizzled",
160,Development_Endothelial differentiation during embryonic development,51,1.254E-04,1.096E-03,1.254E-04,1.096E-03,14,"HEY1, PROX1, PI3K cat class IA, PKC, ETS1, WNT, BMP4, SOX18, Neuropilin-1, Angiopoietin 1, FOXC2, AKT(PKB), FOXC1, GLI-2",
161,Regulation of angiogenesis in prostate cancer,51,1.254E-04,1.096E-03,1.254E-04,1.096E-03,14,"COX-2 (PTGS2), PI3K cat class IA, IL-1 alpha, CCL2, IL-8, TGF-beta receptor type II, EGFR, Angiopoietin 1, AKT(PKB), Collagen IV, Angiotensin II, MMP-9, PLAU (UPA), TNF-alpha",
162,Signal transduction_PDGF signaling via PI3K/AKT and NFkB pathways,70,1.312E-04,1.140E-03,1.312E-04,1.140E-03,17,"Myocardin, CCL2, Tenascin-C, ETS1, MMP-2, PDGF-C, Transgelin, ACTA2, SGK1, PDGFR-ab, PDGF-R-alpha, AKT(PKB), PDGF receptor, c-Src, MMP-9, Phox1 (PRRX1), PDGF-R-beta",
163,Development_Epigenetic and transcriptional regulation of oligodendrocyte precursor cell differentiation and myelination,34,1.329E-04,1.147E-03,1.329E-04,1.147E-03,11,"UGT8, SOX10, Myelin basic protein, HES5, SOX8, SOX17, OLIG2, C11orf9, ID4, Jagged1, Frizzled",
164,DKK1 signaling in multiple myeloma,19,1.372E-04,1.177E-03,1.372E-04,1.177E-03,8,"RANKL(TNFSF11), Tcf(Lef), ALPL, IL-6, Osteoprotegerin, Axin, BMP2, Frizzled",
165,Immune response _CCR3 signaling in eosinophils,77,1.423E-04,1.206E-03,1.423E-04,1.206E-03,18,"iNOS, Eotaxin-2, PKC-alpha, cPLA2, G-protein alpha-i family, MRLC, Eotaxin-3, Myosin II, Actin cytoskeletal, Rac2, Eotaxin, MELC, MyHC, PI3K reg class IB (p101), c-Src, MLCK, Cofilin, CCL7",
