Enrichment analysis report,,,,,,,,,,,,
Enrichment by Pathway Maps,,,,,untransformed_FC,,,,rna_untransformed_FC,,,
#,Maps,Total,min(pValue),Min FDR,p-value,FDR,In Data,"Network Objects from
Active Data",p-value,FDR,In Data,"Network Objects from
Active Data"
39,Airway smooth muscle contraction in asthma,56,6.63E-08,2.54E-06,6.63E-08,2.54E-06,20,"PGE2R2, Histamine H1 receptor, TRPC3, PKC-alpha, G-protein alpha-i family, Adenylate cyclase, MRLC, Telokin, PGF2aR, Myosin II, BDKRB2, Beta-2 adrenergic receptor, TRPC6, CPI-17, G-protein alpha-q/11, MELC, MyHC, MLCK, IP3 receptor, ACM3",1.09E-06,4.44E-05,18,"PGE2R2, Histamine H1 receptor, TRPC3, PKC-alpha, G-protein alpha-i family, Adenylate cyclase, MRLC, Telokin, PGF2aR, BDKRB2, Beta-2 adrenergic receptor, TRPC6, CPI-17, G-protein alpha-q/11, MELC, MLCK, IP3 receptor, ACM3"
40,Development_EGF-induced proliferation of Type C cells in SVZ of adult brain,33,6.92E-08,2.58E-06,6.92E-08,2.58E-06,15,"PI3K cat class IA, PTCH1, SOX2, EGFR, ERK1/2, Fyn, TGF-alpha, DLX2, SOS, GLI-1, AKT(PKB), PDK (PDPK1), p27KIP1, GLI-2, Prolactin receptor",1.66E-05,3.59E-04,12,"PI3K cat class IA, PTCH1, SOX2, EGFR, Fyn, TGF-alpha, DLX2, SOS, GLI-1, AKT(PKB), GLI-2, Prolactin receptor"
41,Signal transduction_WNT/Beta-catenin signaling in tissue homeostasis,42,7.61E-08,2.70E-06,7.61E-08,2.70E-06,17,"COX-2 (PTGS2), iNOS, Tcf(Lef), IL-8, ROR-gamma, WNT, SLUG, TCF7L2 (TCF4), MMP-2, Versican, Beta-catenin, SNAIL1, ACADL, MMP-9, TCF7 (TCF1), CDX1, Frizzled",1.90E-06,6.99E-05,15,"COX-2 (PTGS2), iNOS, Tcf(Lef), IL-8, ROR-gamma, WNT, SLUG, TCF7L2 (TCF4), MMP-2, Versican, ACADL, MMP-9, TCF7 (TCF1), CDX1, Frizzled"
42,Neutrophil chemotaxis in asthma,38,9.50E-08,3.29E-06,9.50E-08,3.29E-06,16,"GRO-2, GRO-1, CCL2, PLGF, IL-8, G-protein alpha-i family, Tissue kallikreins, ERK1/2, ENA-78, BDKRB1, NF-kB, IL8RA, PI3K reg class IB (p101), GRO-3, TLR2, CCL7",4.22E-07,2.42E-05,15,"GRO-2, GRO-1, CCL2, PLGF, IL-8, G-protein alpha-i family, Tissue kallikreins, ENA-78, BDKRB1, NF-kB, IL8RA, PI3K reg class IB (p101), GRO-3, TLR2, CCL7"
43,Development_Extraembryonic differentiation of embryonic stem cells,35,1.15E-07,5.70E-06,1.81E-07,5.70E-06,15,"GATA-3, MSX-2, NCAM1, HNF4, Transferrin, SOX2, Gremlin, CGB3, BMP4, MAP2, Nestin, ID4, HNF3-alpha, BMP2, PAX6",1.15E-07,7.84E-06,15,"GATA-3, MSX-2, NCAM1, HNF4, Transferrin, SOX2, Gremlin, CGB3, BMP4, MAP2, Nestin, ID4, HNF3-alpha, BMP2, PAX6"
44,Neuroendocrine transdifferentiation in Prostate Cancer,48,1.27E-07,4.30E-06,1.27E-07,4.30E-06,18,"STAT3, Tuberin, Chromogranin A, BMX, Oct-3/4, Tcf(Lef), IL-8, EGFR, NT, TCF7L2 (TCF4), IL-6, Beta-catenin, PTHrP, SOS, ERK2 (MAPK1), AKT(PKB), PDK (PDPK1), ERK1 (MAPK3)",9.11E-04,6.31E-03,12,"Chromogranin A, BMX, Oct-3/4, Tcf(Lef), IL-8, EGFR, NT, TCF7L2 (TCF4), IL-6, PTHrP, SOS, AKT(PKB)"
45,Chemotaxis_Inhibitory action of lipoxins on IL-8- and Leukotriene B4-induced neutrophil migration,53,1.32E-07,4.35E-06,1.32E-07,4.35E-06,19,"Actomyosin, ITGB2, ICAM1, IL-8, G-protein alpha-i family, MRLC, ERK1/2, Myosin II, Actin cytoskeletal, Rac2, AKT(PKB), MELC, IL8RA, PDK (PDPK1), MYLK1, PI3K reg class IB (p101), Actin, MLCK, PREX1",1.87E-04,2.08E-03,14,"ITGB2, ICAM1, IL-8, G-protein alpha-i family, MRLC, Rac2, AKT(PKB), MELC, IL8RA, MYLK1, PI3K reg class IB (p101), Actin, MLCK, PREX1"
46,Role of IL-8 in colorectal cancer,19,1.72E-07,5.54E-06,1.72E-07,5.54E-06,11,"HGF, IL-1 beta, PI3K cat class IA, ICAM1, CD44, IL-8, EGFR, ERK1/2, MMP-2, IL8RA, HGF receptor (Met)",1.52E-06,6.03E-05,10,"HGF, IL-1 beta, PI3K cat class IA, ICAM1, CD44, IL-8, EGFR, MMP-2, IL8RA, HGF receptor (Met)"
47,Androgen receptor activation and downstream signaling in Prostate cancer,110,1.84E-07,5.70E-06,1.84E-07,5.70E-06,29,"STAT3, Androgen receptor, N-cadherin, PTEN, STEAP1, IL-8, EGFR, N-Ras, FOLH1 (GCP2), Versican, Clusterin, IL-6, Matrilysin (MMP-7), SGK1, FGF2, SOS, ERK2 (MAPK1), PSCA, AKT(PKB), Caveolin-1, SPRY2, p53, PDK (PDPK1), HNF3-alpha, ER81, ERK1 (MAPK3), TLR2, IBP3, Kallikrein 3 (PSA)",2.93E-04,2.90E-03,22,"Androgen receptor, N-cadherin, STEAP1, IL-8, EGFR, FOLH1 (GCP2), Versican, Clusterin, IL-6, Matrilysin (MMP-7), SGK1, FGF2, SOS, PSCA, AKT(PKB), Caveolin-1, SPRY2, HNF3-alpha, ER81, TLR2, IBP3, Kallikrein 3 (PSA)"
48,Hypertrophy of  asthmatic airway smooth muscle cells ,70,2.02E-07,6.13E-06,2.02E-07,6.13E-06,22,"STAT3, Smooth muscle myosin, IL-1 beta, TGF-beta 2, Tuberin, EDNRB, MYH11, TGF-beta 3, TGF-beta receptor type II, EGFR, LIN-28, Transgelin, ACTA2, SMAD3, PDGF-R-alpha, AKT(PKB), IFN-beta, MLCK, EDNRA, Actin muscle, C/EBPalpha, PDGF-R-beta",1.24E-04,1.52E-03,17,"IL-1 beta, TGF-beta 2, EDNRB, TGF-beta 3, TGF-beta receptor type II, EGFR, LIN-28, Transgelin, ACTA2, PDGF-R-alpha, AKT(PKB), IFN-beta, MLCK, EDNRA, Actin muscle, C/EBPalpha, PDGF-R-beta"
49,WNT signaling in HCC,40,2.24E-07,6.46E-06,2.24E-07,6.46E-06,16,"Prickle-1, p14ARF, DVL-3, Tcf(Lef), WNT, EGFR, TCF7L2 (TCF4), WNT3, Beta-catenin, LGR5, SFRP1, p53, FZD7, Dsh, Frizzled, DACT1",1.44E-04,1.69E-03,12,"Prickle-1, p14ARF, Tcf(Lef), WNT, EGFR, TCF7L2 (TCF4), WNT3, LGR5, SFRP1, FZD7, Frizzled, DACT1"
50,TNF-alpha and IL-1 beta-mediated regulation of contraction and secretion of inflammatory factors in normal and asthmatic airway smooth muscle,65,2.26E-07,6.46E-06,2.26E-07,6.46E-06,21,"COX-2 (PTGS2), GRO-2, IL-1 beta, RelA (p65 NF-kB subunit), GRO-1, TRPC3, CCL2, PKC-alpha, CD38, IL-8, EGFR, ERK1/2, IL-6, PA24A, NF-kB, AKT(PKB), PLA2, GRO-3, MMP-9, PDGF-R-beta, CCL7",6.11E-07,3.12E-05,20,"COX-2 (PTGS2), GRO-2, IL-1 beta, RelA (p65 NF-kB subunit), GRO-1, TRPC3, CCL2, PKC-alpha, CD38, IL-8, EGFR, IL-6, PA24A, NF-kB, AKT(PKB), PLA2, GRO-3, MMP-9, PDGF-R-beta, CCL7"
51,Pancreatic cancer cell resistance to Tarceva (erlotinib),27,2.27E-07,6.46E-06,2.27E-07,6.46E-06,13,"Tuberin, PI3K cat class IA, PTEN, Neuregulin 1, EGFR, ErbB3, Beta-catenin, TGF-alpha, SNAIL1, AKT(PKB), PDK (PDPK1), Vimentin, TCF8",8.57E-03,3.45E-02,7,"PI3K cat class IA, Neuregulin 1, EGFR, TGF-alpha, AKT(PKB), Vimentin, TCF8"
52,Signal transduction_MIF signaling pathway,60,2.46E-07,6.56E-06,2.46E-07,6.56E-06,20,"BAD, Syk, COX-2 (PTGS2), PI3K cat class IA, RelA (p65 NF-kB subunit), ICAM1, CD44, IL-8, cPLA2, Lyn, G-protein alpha-i family, TLR4, Bcl-2, ERK1/2, NF-kB, AKT(PKB), p53, PDK (PDPK1), SFK, PI3K reg class IB (p101)",5.85E-05,8.21E-04,16,"Syk, COX-2 (PTGS2), PI3K cat class IA, RelA (p65 NF-kB subunit), ICAM1, CD44, IL-8, cPLA2, Lyn, G-protein alpha-i family, TLR4, Bcl-2, NF-kB, AKT(PKB), SFK, PI3K reg class IB (p101)"
53,Immune response_IL-17 signaling pathways,60,2.46E-07,6.56E-06,2.46E-07,6.56E-06,20,"COX-2 (PTGS2), IL-1 beta, PI3K cat class IA, CCL20, GRO-1, iNOS, GCP2, ICAM1, CCL2, IL-8, NGAL, Mucin 5AC, ERK1/2, ENA-78, Mucin 5B, IL-6, NF-kB, AKT(PKB), MMP-9, CCL7",7.09E-07,3.28E-05,19,"COX-2 (PTGS2), IL-1 beta, PI3K cat class IA, CCL20, GRO-1, iNOS, GCP2, ICAM1, CCL2, IL-8, NGAL, Mucin 5AC, ENA-78, Mucin 5B, IL-6, NF-kB, AKT(PKB), MMP-9, CCL7"
54,LKB1 signaling pathway in lung cancer cells,45,2.51E-07,6.56E-06,2.51E-07,6.56E-06,17,"STAT3, COX-2 (PTGS2), N-cadherin, TGF-beta 2, ITGB1, Tuberin, Lysyl oxidase, PTEN, ERK1/2, Beta-catenin, NF-kB, Collagen IV, p53, p16INK4, Fibronectin, Vimentin, TCF8",1.80E-03,1.06E-02,11,"COX-2 (PTGS2), N-cadherin, TGF-beta 2, ITGB1, Lysyl oxidase, NF-kB, Collagen IV, p16INK4, Fibronectin, Vimentin, TCF8"
55,Mechanisms of resistance to EGFR inhibitors in lung cancer,45,2.51E-07,6.56E-06,2.51E-07,6.56E-06,17,"HGF, PI3K cat class IA, PTEN, EGFR, ErbB3, CIN85, Beta-catenin, SNAIL1, SOS, ERK2 (MAPK1), AKT(PKB), PDK (PDPK1), HGF receptor (Met), Fibronectin, Vimentin, TCF8, ERK1 (MAPK3)",5.97E-03,2.61E-02,10,"HGF, PI3K cat class IA, EGFR, CIN85, SOS, AKT(PKB), HGF receptor (Met), Fibronectin, Vimentin, TCF8"
56,TGF-beta 1-induced transactivation of membrane receptors signaling in HCC,50,2.62E-07,6.56E-06,2.62E-07,6.56E-06,18,"ITGB1, Laminin 5, PI3K cat class IA, PTEN, Cyclin E, TGF-beta receptor type II, SLUG, Beta-catenin, alpha-5/beta-1 integrin, TGF-beta, SNAIL1, PDGF-R-alpha, AKT(PKB), PDGF receptor, ITGA5, Fibronectin, Actin, PDGF-R-beta",2.17E-05,4.45E-04,15,"ITGB1, Laminin 5, PI3K cat class IA, Cyclin E, TGF-beta receptor type II, SLUG, alpha-5/beta-1 integrin, TGF-beta, PDGF-R-alpha, AKT(PKB), PDGF receptor, ITGA5, Fibronectin, Actin, PDGF-R-beta"
57,VEGF signaling in multiple myeloma,50,2.62E-07,6.56E-06,2.62E-07,6.56E-06,18,"STAT3, ITGB1, PI3K cat class IA, alpha-4/beta-1 integrin, ICAM1, PKC-alpha, Semaphorin 3A, Neuropilin-1, IL-6, alpha-5/beta-1 integrin, SOS, ERK2 (MAPK1), Caveolin-1, PDK (PDPK1), Fibronectin, ERK1 (MAPK3), MDR1, IP3 receptor",9.44E-05,1.19E-03,14,"ITGB1, PI3K cat class IA, alpha-4/beta-1 integrin, ICAM1, PKC-alpha, Semaphorin 3A, Neuropilin-1, IL-6, alpha-5/beta-1 integrin, SOS, Caveolin-1, Fibronectin, MDR1, IP3 receptor"
58,Survival pathways in Prostate Cancer,50,2.62E-07,6.56E-06,2.62E-07,6.56E-06,18,"BAD, STAT3, TRUNDD(TNFRSF10D), Androgen receptor, Tuberin, PI3K cat class IA, Caspase-10, PTEN, CCL2, Bcl-2, IL-6, NF-kB, ERK2 (MAPK1), AKT(PKB), Caspase-8, p53, PDK (PDPK1), ERK1 (MAPK3)",3.34E-02,9.29E-02,9,"TRUNDD(TNFRSF10D), Androgen receptor, PI3K cat class IA, Caspase-10, CCL2, Bcl-2, IL-6, NF-kB, AKT(PKB)"
59,Role of IL-8 in melanoma,36,2.84E-07,6.96E-06,2.84E-07,6.96E-06,15,"IL-1 beta, RelA (p65 NF-kB subunit), ITGB2, ICAM1, IL-8, G-protein alpha-i family, ERK1/2, MMP-2, IL-6, Beta-catenin, SNAIL1, Beta-2 adrenergic receptor, NF-kB, AKT(PKB), IL8RA",4.52E-05,6.74E-04,12,"IL-1 beta, RelA (p65 NF-kB subunit), ITGB2, ICAM1, IL-8, G-protein alpha-i family, MMP-2, IL-6, Beta-2 adrenergic receptor, NF-kB, AKT(PKB), IL8RA"
60,Macrophage and dendritic cell phenotype shift in cancer,100,2.88E-07,6.96E-06,2.88E-07,6.96E-06,27,"STAT3, COX-2 (PTGS2), PGE2R2, MFGE8, IL-1 beta, HPRG, PGE2R4, IDO1, MHC class II, RelA (p65 NF-kB subunit), iNOS, IP10, ESR1 (nuclear), Activin A, PLGF, MSR1, XBP1, TLR4, IL-6, CD137 ligand(TNFSF9), TLR7, NF-kB, CSF1, OSF-2, Jagged1, IFN-beta, TLR2",5.45E-07,2.89E-05,26,"COX-2 (PTGS2), PGE2R2, MFGE8, IL-1 beta, HPRG, PGE2R4, IDO1, MHC class II, RelA (p65 NF-kB subunit), iNOS, IP10, ESR1 (nuclear), Activin A, PLGF, MSR1, XBP1, TLR4, IL-6, CD137 ligand(TNFSF9), TLR7, NF-kB, CSF1, OSF-2, Jagged1, IFN-beta, TLR2"
61,Fibroblast/ myofibroblast proliferation in asthmatic airways,41,3.36E-07,8.00E-06,3.36E-07,8.00E-06,16,"Histamine H1 receptor, IL-1 beta, PI3K cat class IA, EDNRB, PKC, ITGB3, TGF-beta receptor type II, ERK1/2, BDKRB1, NF-kB, SMAD3, CTGF, PDGF-R-alpha, Tryptase, Tissue factor, EDNRA",7.69E-06,2.00E-04,14,"Histamine H1 receptor, IL-1 beta, PI3K cat class IA, EDNRB, PKC, ITGB3, TGF-beta receptor type II, BDKRB1, NF-kB, CTGF, PDGF-R-alpha, Tryptase, Tissue factor, EDNRA"
62,Transcription_Androgen Receptor nuclear signaling,46,3.64E-07,8.53E-06,3.64E-07,8.53E-06,17,"STAT3, Androgen receptor, WNT, TGF-beta receptor type II, EGFR, MMP-2, IL-6, Beta-catenin, SOS, SMAD3, ERK2 (MAPK1), PAK6, AKT(PKB), HIC5, Dsh, Frizzled, Kallikrein 3 (PSA)",6.02E-04,4.74E-03,12,"Androgen receptor, WNT, TGF-beta receptor type II, EGFR, MMP-2, IL-6, SOS, PAK6, AKT(PKB), HIC5, Frizzled, Kallikrein 3 (PSA)"
63,FAK1 signaling in melanoma,42,4.96E-07,1.13E-05,4.96E-07,1.13E-05,16,"ITGB1, RelA (p65 NF-kB subunit), PKC-alpha, ITGB3, N-Ras, ERK1/2, MMP-14, MMP-2, alpha-5/beta-1 integrin, Actin cytoskeletal, SOS, NF-kB, Caveolin-1, ITGA5, Fibronectin, PLAU (UPA)",5.31E-05,7.61E-04,13,"ITGB1, RelA (p65 NF-kB subunit), PKC-alpha, ITGB3, MMP-14, MMP-2, alpha-5/beta-1 integrin, SOS, NF-kB, Caveolin-1, ITGA5, Fibronectin, PLAU (UPA)"
64,IL-1 signaling in melanoma,42,4.96E-07,1.13E-05,4.96E-07,1.13E-05,16,"COX-2 (PTGS2), GRO-2, IL-1 beta, PD-L2, GRO-1, iNOS, alpha-4/beta-1 integrin, ICAM1, CCL2, IL-8, IL-6, NF-kB, p53, GRO-3, MMP-9, PD-L1",1.90E-06,6.99E-05,15,"COX-2 (PTGS2), GRO-2, IL-1 beta, PD-L2, GRO-1, iNOS, alpha-4/beta-1 integrin, ICAM1, CCL2, IL-8, IL-6, NF-kB, GRO-3, MMP-9, PD-L1"
65,Role of metalloproteases and heparanase in progression of pancreatic cancer,33,5.44E-07,1.22E-05,5.44E-07,1.22E-05,14,"Heparanase 1, CD44, Alpha 1-antitrypsin, EGFR, CD44 soluble, MMP-14, MMP-2, CD44 (EXT), Matrilysin (MMP-7), SOS, Collagen IV, ERK1 (MAPK3), MMP-9, CD147",2.58E-06,8.40E-05,13,"Heparanase 1, CD44, Alpha 1-antitrypsin, EGFR, CD44 soluble, MMP-14, MMP-2, CD44 (EXT), Matrilysin (MMP-7), SOS, Collagen IV, MMP-9, CD147"
66,Vascular endothelial cell damage in SLE,63,6.02E-07,1.33E-05,6.02E-07,1.33E-05,20,"HGF, IL-1 beta, PD-L2, RelA (p65 NF-kB subunit), iNOS, alpha-4/beta-1 integrin, ICAM1, CCL2, MSR1, IL-8, ERK1/2, IL-6, alpha-5/beta-1 integrin, NF-kB, CSF1, Tissue factor, Caspase-1, Fibronectin, C3a, PD-L1",1.64E-06,6.33E-05,19,"HGF, IL-1 beta, PD-L2, RelA (p65 NF-kB subunit), iNOS, alpha-4/beta-1 integrin, ICAM1, CCL2, MSR1, IL-8, IL-6, alpha-5/beta-1 integrin, NF-kB, CSF1, Tissue factor, Caspase-1, Fibronectin, C3a, PD-L1"
67,Main pathways of Schwann cells transformation in neurofibromatosis type 1 ,80,6.45E-07,1.40E-05,6.45E-07,1.40E-05,23,"BAD, ITGB1, Tuberin, Myelin basic protein, PI3K cat class IA, Amphiregulin, PTEN, Neuregulin 1, EGFR, N-Ras, Bcl-2, ERK1/2, ErbB3, IL-6, Beta-catenin, Rac2, TGF-alpha, B-FABP, AKT(PKB), PDGF receptor, PDK (PDPK1), IP3 receptor, PDGF-R-beta",4.91E-03,2.27E-02,15,"ITGB1, Myelin basic protein, PI3K cat class IA, Amphiregulin, Neuregulin 1, EGFR, Bcl-2, IL-6, Rac2, TGF-alpha, B-FABP, AKT(PKB), PDGF receptor, IP3 receptor, PDGF-R-beta"
68,TGF-beta signaling via kinase cascades in breast cancer,58,6.66E-07,1.41E-05,6.66E-07,1.41E-05,19,"COX-2 (PTGS2), TGF-beta 2, ITGB1, Amphiregulin, RelA (p65 NF-kB subunit), MMP-13, ADAM12, Neuregulin 1, ITGB3, IL-8, TGF-beta receptor type II, EGFR, ERK1/2, MMP-2, ErbB3, TGF-alpha, AKT(PKB), SOS1, MMP-9",8.81E-06,2.21E-04,17,"COX-2 (PTGS2), TGF-beta 2, ITGB1, Amphiregulin, RelA (p65 NF-kB subunit), MMP-13, ADAM12, Neuregulin 1, ITGB3, IL-8, TGF-beta receptor type II, EGFR, MMP-2, TGF-alpha, AKT(PKB), SOS1, MMP-9"
69,Development_Role of HGF in hematopoietic stem cell mobilization,21,6.71E-07,1.41E-05,6.71E-07,1.41E-05,11,"HGF, Tuberin, PI3K cat class IA, RECK, MMP-14, MMP-2, SGK1, AKT(PKB), PDK (PDPK1), HGF receptor (Met), MMP-9",4.22E-05,6.56E-04,9,"HGF, PI3K cat class IA, RECK, MMP-14, MMP-2, SGK1, AKT(PKB), HGF receptor (Met), MMP-9"
70,Immune response_TLR2 and TLR4 signaling pathways,69,6.97E-07,1.45E-05,6.97E-07,1.45E-05,21,"COX-2 (PTGS2), IL-1 beta, TLR1, PI3K cat class IA, Pellino 1, iNOS, CD14, Pellino 2, TLR10, IL-8, TLR6, Lyn, TLR4, ERK1/2, MD-2, IL-6, TIRAP (Mal), NF-kB, AKT(PKB), PDK (PDPK1), TLR2",7.30E-06,1.94E-04,19,"COX-2 (PTGS2), IL-1 beta, TLR1, PI3K cat class IA, Pellino 1, iNOS, CD14, Pellino 2, TLR10, IL-8, TLR6, Lyn, TLR4, MD-2, IL-6, TIRAP (Mal), NF-kB, AKT(PKB), TLR2"
71,Inter-cellular relations in COPD (general schema),30,6.98E-07,2.01E-05,1.04E-06,2.01E-05,13,"IL-1 beta, RelA (p65 NF-kB subunit), GRO-1, IP10, CCL2, I-TAC, IL-8, EGFR, IL-6, TGF-beta, TGF-alpha, CTGF, MMP-9",6.98E-07,3.28E-05,13,"IL-1 beta, RelA (p65 NF-kB subunit), GRO-1, IP10, CCL2, I-TAC, IL-8, EGFR, IL-6, TGF-beta, TGF-alpha, CTGF, MMP-9"
72,IL-6 signaling in breast cancer cells,53,7.14E-07,1.46E-05,7.14E-07,1.46E-05,18,"STAT3, N-cadherin, PI3K cat class IA, RelA (p65 NF-kB subunit), IP10, ESR1 (nuclear), Bcl-2, Fascin, ERK1/2, CYP19, IL-6, SNAIL1, SOS, AKT(PKB), Jagged1, Vimentin, Carbonic anhydrase IX, MDR1",4.66E-05,6.74E-04,15,"N-cadherin, PI3K cat class IA, RelA (p65 NF-kB subunit), IP10, ESR1 (nuclear), Bcl-2, Fascin, CYP19, IL-6, SOS, AKT(PKB), Jagged1, Vimentin, Carbonic anhydrase IX, MDR1"
73,K-RAS signaling in lung cancer,48,7.37E-07,1.49E-05,7.37E-07,1.49E-05,17,"COX-2 (PTGS2), GRO-2, Amphiregulin, GRO-1, PTEN, CCL2, PDCD4, EGFR, ERK1/2, ENA-78, Beta-catenin, PA24A, AKT(PKB), SPRY2, PDK (PDPK1), RhoB, MMP-9",2.41E-04,2.48E-03,13,"COX-2 (PTGS2), GRO-2, Amphiregulin, GRO-1, CCL2, PDCD4, EGFR, ENA-78, PA24A, AKT(PKB), SPRY2, RhoB, MMP-9"
74,HGF signaling in colorectal cancer,64,7.99E-07,1.57E-05,7.99E-07,1.57E-05,20,"HGF, COX-2 (PTGS2), Laminin 5, PI3K cat class IA, LAMC2, CD44, PTEN, EGFR, TCF7L2 (TCF4), ERK1/2, MMP-2, Beta-catenin, PLAUR (uPAR), Actin cytoskeletal, SOS, AKT(PKB), LAMB3, HGF receptor (Met), MMP-9, LAMA3 (Epiligrin)",1.35E-04,1.60E-03,16,"HGF, COX-2 (PTGS2), Laminin 5, PI3K cat class IA, LAMC2, CD44, EGFR, TCF7L2 (TCF4), MMP-2, PLAUR (uPAR), SOS, AKT(PKB), LAMB3, HGF receptor (Met), MMP-9, LAMA3 (Epiligrin)"
75,MAPK-independent proliferation of normal and asthmatic smooth muscle cells,64,7.99E-07,1.57E-05,7.99E-07,1.57E-05,20,"STAT3, Histamine H1 receptor, PI3K cat class IA, EDNRB, PLAT (TPA), EGFR, G-protein alpha-i family, PDGF-C, FGF2, NF-kB, PDGF-R-alpha, AKT(PKB), G-protein alpha-q/11, Tryptase, PDGF receptor, PDK (PDPK1), p27KIP1, EDNRA, PDGF-R-beta, IBP3",3.65E-05,5.81E-04,17,"Histamine H1 receptor, PI3K cat class IA, EDNRB, PLAT (TPA), EGFR, G-protein alpha-i family, PDGF-C, FGF2, NF-kB, PDGF-R-alpha, AKT(PKB), G-protein alpha-q/11, Tryptase, PDGF receptor, EDNRA, PDGF-R-beta, IBP3"
76,Basophil migration in asthma,55,8.04E-07,2.44E-05,1.33E-06,2.44E-05,18,"ST2(L), Secretoneurin, CCL13, Eotaxin-2, alpha-4/beta-1 integrin, ICAM1, CCL2, IL-8, G-protein alpha-i family, IL-33, PLAUR (uPAR), FPRL2, IL8RA, Fibronectin, PI3K reg class IB (p101), MMP-9, PLAU (UPA), CCL7",8.04E-07,3.60E-05,18,"ST2(L), Secretoneurin, CCL13, Eotaxin-2, alpha-4/beta-1 integrin, ICAM1, CCL2, IL-8, G-protein alpha-i family, IL-33, PLAUR (uPAR), FPRL2, IL8RA, Fibronectin, PI3K reg class IB (p101), MMP-9, PLAU (UPA), CCL7"
77,Expression targets of Tissue factor signaling in cancer,22,8.70E-07,2.32E-05,1.23E-06,2.32E-05,11,"PTX3, ITGB1, GRO-1, GFPT2, IL-8, PLAUR (uPAR), CTGF, CSF1, Tissue factor, Coagulation factor VII, PLAU (UPA)",8.70E-07,3.66E-05,11,"PTX3, ITGB1, GRO-1, GFPT2, IL-8, PLAUR (uPAR), CTGF, CSF1, Tissue factor, Coagulation factor VII, PLAU (UPA)"
78,Role of fibroblasts in the sensitization phase of allergic contact dermatitis,22,8.70E-07,2.32E-05,1.23E-06,2.32E-05,11,"IL-1 beta, Laminin 5, Elastin, IL-8, MMP-2, IL-6, NF-kB, Collagen IV, Fibronectin, MMP-9, Collagen III",8.70E-07,3.66E-05,11,"IL-1 beta, Laminin 5, Elastin, IL-8, MMP-2, IL-6, NF-kB, Collagen IV, Fibronectin, MMP-9, Collagen III"
79,Plasminogen activators signaling in pancreatic cancer,35,1.29E-06,2.40E-05,1.29E-06,2.40E-05,14,"HGF, RelA (p65 NF-kB subunit), Fra-1, PLAT (TPA), EGFR, ERK1/2, MMP-14, MMP-2, Galectin-1, PLAUR (uPAR), SOS, HGF receptor (Met), MMP-9, PLAU (UPA)",5.60E-06,1.54E-04,13,"HGF, RelA (p65 NF-kB subunit), Fra-1, PLAT (TPA), EGFR, MMP-14, MMP-2, Galectin-1, PLAUR (uPAR), SOS, HGF receptor (Met), MMP-9, PLAU (UPA)"
80,Canonical WNT signaling pathway in colorectal cancer,66,1.38E-06,2.50E-05,1.38E-06,2.50E-05,20,"Galectin-3, PI3K cat class IA, iNOS, DVL-3, CD44, Mucin 2, WNT, BMP4, SLUG, TCF7L2 (TCF4), Beta-catenin, Matrilysin (MMP-7), SFRP1, HGF receptor (Met), FZD7, Dsh, DACT3, TCF7 (TCF1), Frizzled, WNT6",5.60E-05,7.94E-04,17,"Galectin-3, PI3K cat class IA, iNOS, CD44, Mucin 2, WNT, BMP4, SLUG, TCF7L2 (TCF4), Matrilysin (MMP-7), SFRP1, HGF receptor (Met), FZD7, DACT3, TCF7 (TCF1), Frizzled, WNT6"
81,Proteases and EGFR-activated mucin production in airway epithelium in COPD,50,1.43E-06,2.50E-05,1.43E-06,2.50E-05,17,"PI3K cat class IA, CD44, PTEN, Neuregulin 1, EGFR, Mucin 5AC, Bcl-2, ERK1/2, ErbB3, Mucin 5B, PPARGC1 (PGC1-alpha), TGF-alpha, NF-kB, AKT(PKB), DUOX1, Kallikrein 1, MMP-9",9.44E-05,1.19E-03,14,"PI3K cat class IA, CD44, Neuregulin 1, EGFR, Mucin 5AC, Bcl-2, Mucin 5B, PPARGC1 (PGC1-alpha), TGF-alpha, NF-kB, AKT(PKB), DUOX1, Kallikrein 1, MMP-9"
82,The role of PTEN and PI3K signaling in melanoma,50,1.43E-06,2.50E-05,1.43E-06,2.50E-05,17,"BAD, STAT3, N-cadherin, MCAM, PI3K cat class IA, PTEN, N-Ras, AKT3, p15, Beta-catenin, alpha-5/beta-1 integrin, SNAIL1, Tau (MAPT), AKT(PKB), Caspase-8, PDK (PDPK1), Fibronectin",3.34E-02,9.29E-02,9,"N-cadherin, MCAM, PI3K cat class IA, AKT3, p15, alpha-5/beta-1 integrin, Tau (MAPT), AKT(PKB), Fibronectin"
83,HBV-dependent NF-kB and PI3K/AKT pathways leading to HCC,50,1.43E-06,2.50E-05,1.43E-06,2.50E-05,17,"BAD, Androgen receptor, PI3K cat class IA, RelA (p65 NF-kB subunit), iNOS, PTEN, PKC-alpha, A2M, Cyclin E, SOS, NF-kB, AKT(PKB), p53, PDK (PDPK1), p27KIP1, MMP-9, PLAU (UPA)",1.34E-03,8.35E-03,12,"Androgen receptor, PI3K cat class IA, RelA (p65 NF-kB subunit), iNOS, PKC-alpha, A2M, Cyclin E, SOS, NF-kB, AKT(PKB), MMP-9, PLAU (UPA)"
