Enrichment analysis report,,,,,,,,,,,,,
Enrichment by Pathway Maps,,,,,down_genes_int_061520_genelist,,,,down_genes_rna_061620_genelist,,,,
#,Maps,Total,min(pValue),Min FDR,p-value,FDR,In Data,"Network Objects from
Active Data",p-value,FDR,In Data,"Network Objects from
Active Data",
45,Muscle contraction_GPCRs in the regulation of smooth muscle tone,83,1.609E-07,4.988E-06,1.609E-07,4.988E-06,20,"PGE2R2, Histamine H1 receptor, Myosin II, TRPC4, Beta-2 adrenergic receptor, TRPC6, TRPC3, Adenosine A2b receptor, G-protein alpha-q/11, MELC, PKC-alpha, MyHC, NCX1, G-protein alpha-i family, Adenylate cyclase, MLCK, MRLC, EDNRA, ACM3, Telokin",2.146E-06,5.620E-05,18,"PGE2R2, Histamine H1 receptor, TRPC4, Beta-2 adrenergic receptor, TRPC6, TRPC3, Adenosine A2b receptor, G-protein alpha-q/11, MELC, PKC-alpha, NCX1, G-protein alpha-i family, Adenylate cyclase, MLCK, MRLC, EDNRA, ACM3, Telokin",
46,Glucocorticoid-induced elevation of intraocular pressure as glaucoma risk factor,62,1.836E-07,5.425E-06,1.836E-07,5.425E-06,17,"COX-2 (PTGS2), ITGB1, Laminin 5, Actin cytoskeletal, PI3K cat class IA, COL4A1, LAMB3, Collagen IV, PLAT (TPA), HGF receptor (Met), Fibronectin, ITGB3, Elastin, EGFR, LAMA1, MLCK, MMP-2",6.643E-07,2.262E-05,16,"COX-2 (PTGS2), ITGB1, Laminin 5, PI3K cat class IA, COL4A1, LAMB3, Collagen IV, PLAT (TPA), HGF receptor (Met), Fibronectin, ITGB3, Elastin, EGFR, LAMA1, MLCK, MMP-2",
47,Immune response_TLR2 and TLR4 signaling pathways,69,1.840E-07,5.425E-06,1.840E-07,5.425E-06,18,"COX-2 (PTGS2), IL-1 beta, IL-6, TLR1, PI3K cat class IA, Pellino 1, iNOS, CD14, AKT(PKB), Pellino 2, TLR10, IL-8, TLR6, Lyn, TLR4, TLR2, ERK1/2, MD-2",6.112E-07,2.262E-05,17,"COX-2 (PTGS2), IL-1 beta, IL-6, TLR1, PI3K cat class IA, Pellino 1, iNOS, CD14, AKT(PKB), Pellino 2, TLR10, IL-8, TLR6, Lyn, TLR4, TLR2, MD-2",
48,Probable BMP4-mediated induction of EMT in airway epithelium,21,1.867E-07,5.425E-06,1.867E-07,5.425E-06,10,"N-cadherin, Beta-catenin, SNAIL1, COL5A1, TCF8, BMP4, SLUG, MMP-9, SIP1 (ZFHX1B), MMP-2",1.937E-05,3.156E-04,8,"N-cadherin, COL5A1, TCF8, BMP4, SLUG, MMP-9, SIP1 (ZFHX1B), MMP-2",
49,Development_Neural stem cell lineage commitment (schema),38,2.058E-07,7.843E-06,3.025E-07,7.843E-06,13,"Myelin basic protein, Nestin, MCT1 (SLC16A1), MAP-1B, PDGF-R-alpha, PTCH1, Vimentin, WNT7A, BMP4, MAP2, GLAST1/EAAT1, BMP2, LIF",2.058E-07,1.078E-05,13,"Myelin basic protein, Nestin, MCT1 (SLC16A1), MAP-1B, PDGF-R-alpha, PTCH1, Vimentin, WNT7A, BMP4, MAP2, GLAST1/EAAT1, BMP2, LIF",
50,Development_Early embryonal hypaxial myogenesis,37,2.112E-07,6.013E-06,2.112E-07,6.013E-06,13,"Beta-catenin, GLI-1, SMAD3, PKC, PTCH1, WNT7A, FZD7, Dsh, BMP4, Adenylate cyclase, Frizzled, GLI-2, WNT6",5.485E-05,7.092E-04,10,"GLI-1, PKC, PTCH1, WNT7A, FZD7, BMP4, Adenylate cyclase, Frizzled, GLI-2, WNT6",
51,Macrophage and dendritic cell phenotype shift in cancer,100,2.202E-07,6.144E-06,2.202E-07,6.144E-06,22,"STAT3, COX-2 (PTGS2), PGE2R2, MFGE8, IL-1 beta, IL-6, HPRG, PGE2R4, IDO1, MHC class II, CD137 ligand(TNFSF9), TLR7, iNOS, CSF1, Activin A, OSF-2, PLGF, Jagged1, MSR1, IFN-beta, TLR4, TLR2",5.457E-07,2.186E-05,21,"COX-2 (PTGS2), PGE2R2, MFGE8, IL-1 beta, IL-6, HPRG, PGE2R4, IDO1, MHC class II, CD137 ligand(TNFSF9), TLR7, iNOS, CSF1, Activin A, OSF-2, PLGF, Jagged1, MSR1, IFN-beta, TLR4, TLR2",
52,Development_YAP/TAZ-mediated co-regulation of transcription,56,2.259E-07,6.178E-06,2.259E-07,6.178E-06,16,"Beta-catenin, HBP17, TAZ, SNAIL1, SMAD3, CTGF, RUNX2, ITGB2, Oct-3/4, UFO, Neurotractin, CDX2, SLUG, UCA1, SIP1 (ZFHX1B), CDK6",2.566E-05,3.973E-04,13,"HBP17, TAZ, CTGF, RUNX2, ITGB2, Oct-3/4, UFO, Neurotractin, CDX2, SLUG, UCA1, SIP1 (ZFHX1B), CDK6",
53,Expression targets of Tissue factor signaling in cancer,22,2.366E-07,8.042E-06,3.228E-07,8.042E-06,10,"PTX3, ITGB1, PLAUR (uPAR), GRO-1, CTGF, CSF1, Tissue factor, GFPT2, IL-8, PLAU (UPA)",2.366E-07,1.111E-05,10,"PTX3, ITGB1, PLAUR (uPAR), GRO-1, CTGF, CSF1, Tissue factor, GFPT2, IL-8, PLAU (UPA)",
54,Role of fibroblasts in the sensitization phase of allergic contact dermatitis,22,2.366E-07,8.042E-06,3.228E-07,8.042E-06,10,"IL-1 beta, IL-6, Laminin 5, Collagen IV, Fibronectin, Elastin, IL-8, MMP-9, MMP-2, Collagen III",2.366E-07,1.111E-05,10,"IL-1 beta, IL-6, Laminin 5, Collagen IV, Fibronectin, Elastin, IL-8, MMP-9, MMP-2, Collagen III",
55,HGF signaling in colorectal cancer,64,3.036E-07,7.843E-06,3.036E-07,7.843E-06,17,"HGF, COX-2 (PTGS2), Beta-catenin, Laminin 5, PLAUR (uPAR), Actin cytoskeletal, PI3K cat class IA, LAMC2, AKT(PKB), LAMB3, CD44, HGF receptor (Met), EGFR, MMP-9, LAMA3 (Epiligrin), ERK1/2, MMP-2",2.596E-05,3.973E-04,14,"HGF, COX-2 (PTGS2), Laminin 5, PLAUR (uPAR), PI3K cat class IA, LAMC2, AKT(PKB), LAMB3, CD44, HGF receptor (Met), EGFR, MMP-9, LAMA3 (Epiligrin), MMP-2",
56,Immune response_IFN-alpha/beta signaling via JAK/STAT,64,3.036E-07,7.843E-06,3.036E-07,7.843E-06,17,"STAT3, IFI17, TAP1 (PSF1), RSAD2, IFI27, ISG15, STAT4, CCL2, Caspase-8, p53, IFI6, I-TAC, ERAP140, IFN-beta, ISG54, XAF1, RIG-G",2.596E-05,3.973E-04,14,"IFI17, TAP1 (PSF1), RSAD2, IFI27, ISG15, STAT4, CCL2, IFI6, I-TAC, ERAP140, IFN-beta, ISG54, XAF1, RIG-G",
57,"Development_Hedgehog, BMP and Parathyroid hormone in osteogenesis",51,3.552E-07,8.543E-06,3.552E-07,8.543E-06,15,"ALPL, EGR2 (Krox20), TAZ, PTHrP, GLI-1, RUNX2, Osteoprotegerin, G-protein alpha-q/11, PTCH1, BMP6, DLX5, Adenylate cyclase, BMP2, ERK1/2, GLI-2",1.478E-06,4.109E-05,14,"ALPL, EGR2 (Krox20), TAZ, PTHrP, GLI-1, RUNX2, Osteoprotegerin, G-protein alpha-q/11, PTCH1, BMP6, DLX5, Adenylate cyclase, BMP2, GLI-2",
58,Development_Endothelial differentiation during embryonic development,51,3.552E-07,8.543E-06,3.552E-07,8.543E-06,15,"Angiopoietin 1, FOXC2, Beta-catenin, TIE2, PI3K cat class IA, PKC, AKT(PKB), ETS1, WNT, BMP4, SOX18, FOXC1, Neuropilin-1, ERK1/2, GLI-2",8.601E-06,1.698E-04,13,"Angiopoietin 1, FOXC2, TIE2, PI3K cat class IA, PKC, AKT(PKB), ETS1, WNT, BMP4, SOX18, FOXC1, Neuropilin-1, GLI-2",
59,Release of pro-inflammatory mediators and elastolytic enzymes by alveolar macrophages in COPD,28,3.567E-07,1.140E-05,4.984E-07,1.140E-05,11,"CHI3L1, IL-1 beta, IL-6, Matrilysin (MMP-7), CCL2, Cathepsin S, IL-8, MMP-9, TLR4, TLR2, MMP-2",3.567E-07,1.620E-05,11,"CHI3L1, IL-1 beta, IL-6, Matrilysin (MMP-7), CCL2, Cathepsin S, IL-8, MMP-9, TLR4, TLR2, MMP-2",
60,Immune response_Classical complement pathway,53,4.036E-07,1.368E-05,6.178E-07,1.368E-05,15,"C1r, C7, C4a, iC3b, C3dg, C1 inhibitor, C6, C3a, C3, Factor I, C3b, C4, C1s, C3c, C4b",4.036E-07,1.701E-05,15,"C1r, C7, C4a, iC3b, C3dg, C1 inhibitor, C6, C3a, C3, Factor I, C3b, C4, C1s, C3c, C4b",
61,LKB1 signaling pathway in lung cancer cells,45,4.046E-07,9.566E-06,4.046E-07,9.566E-06,14,"STAT3, COX-2 (PTGS2), N-cadherin, TGF-beta 2, Beta-catenin, ITGB1, Lysyl oxidase, Collagen IV, p53, p16INK4, Fibronectin, Vimentin, TCF8, ERK1/2",3.213E-04,2.860E-03,10,"COX-2 (PTGS2), N-cadherin, TGF-beta 2, ITGB1, Lysyl oxidase, Collagen IV, p16INK4, Fibronectin, Vimentin, TCF8",
62,Canonical WNT signaling pathway in colorectal cancer,66,4.911E-07,1.140E-05,4.911E-07,1.140E-05,17,"Beta-catenin, Matrilysin (MMP-7), PI3K cat class IA, iNOS, DVL-3, SFRP1, CD44, HGF receptor (Met), FZD7, Dsh, WNT, BMP4, SLUG, DACT3, TCF7 (TCF1), Frizzled, WNT6",3.745E-05,5.259E-04,14,"Matrilysin (MMP-7), PI3K cat class IA, iNOS, SFRP1, CD44, HGF receptor (Met), FZD7, WNT, BMP4, SLUG, DACT3, TCF7 (TCF1), Frizzled, WNT6",
63,Langerhans cell migration to lymph nodes in allergic contact dermatitis,35,5.923E-07,1.709E-05,8.454E-07,1.709E-05,12,"IL-1 beta, Laminin 5, TNF-R2, CCL20, Collagen IV, alpha-4/beta-1 integrin, ICAM1, CD44, Fibronectin, MMP-9, GITRL, MDR1",5.923E-07,2.262E-05,12,"IL-1 beta, Laminin 5, TNF-R2, CCL20, Collagen IV, alpha-4/beta-1 integrin, ICAM1, CD44, Fibronectin, MMP-9, GITRL, MDR1",
64,Chemotaxis_Inhibitory action of lipoxins on IL-8- and Leukotriene B4-induced neutrophil migration,53,6.178E-07,1.368E-05,6.178E-07,1.368E-05,15,"Myosin II, Actin cytoskeletal, Actomyosin, Rac2, AKT(PKB), ITGB2, ICAM1, MELC, MYLK1, IL-8, Actin, G-protein alpha-i family, MLCK, MRLC, ERK1/2",3.087E-04,2.798E-03,11,"Rac2, AKT(PKB), ITGB2, ICAM1, MELC, MYLK1, IL-8, Actin, G-protein alpha-i family, MLCK, MRLC",
65,"Chemokines in inflammation in adipose tissue and liver in obesity, type 2 diabetes and metabolic syndrome X",48,6.553E-07,1.949E-05,9.781E-07,1.949E-05,14,"IL-1 beta, IL-6, PLAUR (uPAR), MHC class II, CD14, ITGA4, EMR1, ICAM1, CD44, CCL2, CMKLR1, IL-8, TLR4, TLR2",6.553E-07,2.262E-05,14,"IL-1 beta, IL-6, PLAUR (uPAR), MHC class II, CD14, ITGA4, EMR1, ICAM1, CD44, CCL2, CMKLR1, IL-8, TLR4, TLR2",
66,"Signal transduction_Angiotensin II/ AGTR1 signaling via p38, ERK and PI3K",98,6.598E-07,1.438E-05,6.598E-07,1.438E-05,21,"Syk, COX-2 (PTGS2), PDGF-C, IL-6, PPARGC1 (PGC1-alpha), Fyn, PI3K cat class IA, RECK, AKT(PKB), OSF-2, CCL2, ETS1, cPLA2, EGFR, TLR4, ERK1/2, MEF2C, PDGF-R-beta, MMP-14, MMP-2, CMYA3",1.631E-06,4.444E-05,20,"Syk, COX-2 (PTGS2), PDGF-C, IL-6, PPARGC1 (PGC1-alpha), Fyn, PI3K cat class IA, RECK, AKT(PKB), OSF-2, CCL2, ETS1, cPLA2, EGFR, TLR4, MEF2C, PDGF-R-beta, MMP-14, MMP-2, CMYA3",
67,"Immune response_T cell co-signaling receptors, schema",55,6.846E-07,2.051E-05,1.044E-06,2.051E-05,15,"MHC class II, CD137 ligand(TNFSF9), PD-L2, DPP4, Collagen V, CD137(TNFRSF9), LIGHT(TNFSF14), Collagen VI, Galectin-9, CD30(TNFRSF8), CD70(TNFSF7), GITRL, PD-L1, Nectin-3, Collagen III",6.846E-07,2.274E-05,15,"MHC class II, CD137 ligand(TNFSF9), PD-L2, DPP4, Collagen V, CD137(TNFRSF9), LIGHT(TNFSF14), Collagen VI, Galectin-9, CD30(TNFRSF8), CD70(TNFSF7), GITRL, PD-L1, Nectin-3, Collagen III",
68,ERBB family and HGF signaling in gastric cancer,54,8.058E-07,1.709E-05,8.058E-07,1.709E-05,15,"BAD, STAT3, HGF, COX-2 (PTGS2), Beta-catenin, PI3K cat class IA, TGF-alpha, ERK2 (MAPK1), AKT(PKB), HGF receptor (Met), IL-8, Epiregulin, EGFR, Neuropilin-1, ERK1/2",1.462E-03,8.968E-03,10,"HGF, COX-2 (PTGS2), PI3K cat class IA, TGF-alpha, AKT(PKB), HGF receptor (Met), IL-8, Epiregulin, EGFR, Neuropilin-1",
69,Inter-cellular relations in COPD (general schema),30,8.101E-07,2.154E-05,1.127E-06,2.154E-05,11,"IL-1 beta, IL-6, TGF-beta, TGF-alpha, GRO-1, CTGF, CCL2, I-TAC, IL-8, EGFR, MMP-9",8.101E-07,2.452E-05,11,"IL-1 beta, IL-6, TGF-beta, TGF-alpha, GRO-1, CTGF, CCL2, I-TAC, IL-8, EGFR, MMP-9",
70,Maturation and migration of dendritic cells in skin sensitization,41,8.238E-07,1.709E-05,8.238E-07,1.709E-05,13,"MHC class II alpha chain, IL-1 beta, IL-6, TNF-R2, HLA-DRB1, MHC class II, CD83, HLA-DRA1, ICAM1, MHC class II beta chain, HLA-DRB, IL-8, ERK1/2",3.983E-06,9.353E-05,12,"MHC class II alpha chain, IL-1 beta, IL-6, TNF-R2, HLA-DRB1, MHC class II, CD83, HLA-DRA1, ICAM1, MHC class II beta chain, HLA-DRB, IL-8",
71,Plasminogen activators signaling in pancreatic cancer,35,8.454E-07,1.709E-05,8.454E-07,1.709E-05,12,"HGF, Galectin-1, PLAUR (uPAR), Fra-1, PLAT (TPA), HGF receptor (Met), EGFR, MMP-9, PLAU (UPA), ERK1/2, MMP-14, MMP-2",4.661E-06,1.024E-04,11,"HGF, Galectin-1, PLAUR (uPAR), Fra-1, PLAT (TPA), HGF receptor (Met), EGFR, MMP-9, PLAU (UPA), MMP-14, MMP-2",
72,Extracellular matrix-regulated proliferation of airway smooth muscle cells in asthma,35,8.454E-07,1.709E-05,8.454E-07,1.709E-05,12,"alpha-5/beta-1 integrin, PI3K cat class IA, SMAD3, CTGF, Collagen IV, alpha-4/beta-1 integrin, Fibronectin, TGF-beta receptor type II, EGFR, LAMA1, ERK1/2, Collagen III",3.233E-05,4.685E-04,10,"alpha-5/beta-1 integrin, PI3K cat class IA, CTGF, Collagen IV, alpha-4/beta-1 integrin, Fibronectin, TGF-beta receptor type II, EGFR, LAMA1, Collagen III",
73,Colorectal cancer (general schema),30,1.127E-06,2.154E-05,1.127E-06,2.154E-05,11,"HGF, IL-6, Beta-catenin, PTCH1, HGF receptor (Met), IL-8, WNT, TGF-beta receptor type II, EGFR, Ephrin-B receptors, Frizzled",7.006E-06,1.403E-04,10,"HGF, IL-6, PTCH1, HGF receptor (Met), IL-8, WNT, TGF-beta receptor type II, EGFR, Ephrin-B receptors, Frizzled",
74,Role of IL-8 in melanoma,36,1.195E-06,2.249E-05,1.195E-06,2.249E-05,12,"IL-1 beta, IL-6, Beta-catenin, SNAIL1, Beta-2 adrenergic receptor, AKT(PKB), ITGB2, ICAM1, IL-8, G-protein alpha-i family, ERK1/2, MMP-2",2.481E-04,2.346E-03,9,"IL-1 beta, IL-6, Beta-2 adrenergic receptor, AKT(PKB), ITGB2, ICAM1, IL-8, G-protein alpha-i family, MMP-2",
75,Hypertrophy of  asthmatic airway smooth muscle cells ,70,1.209E-06,2.249E-05,1.209E-06,2.249E-05,17,"STAT3, Smooth muscle myosin, IL-1 beta, Transgelin, TGF-beta 2, ACTA2, SMAD3, PDGF-R-alpha, AKT(PKB), MYH11, TGF-beta receptor type II, EGFR, IFN-beta, MLCK, EDNRA, Actin muscle, PDGF-R-beta",2.907E-04,2.675E-03,13,"IL-1 beta, Transgelin, TGF-beta 2, ACTA2, PDGF-R-alpha, AKT(PKB), TGF-beta receptor type II, EGFR, IFN-beta, MLCK, EDNRA, Actin muscle, PDGF-R-beta",
76,Resolution of inflammation in healing myocardial infarction,25,1.370E-06,2.514E-05,1.370E-06,2.514E-05,10,"Angiopoietin 1, STAT3, HGF, TIE2, FGF2, AKT(PKB), HGF receptor (Met), MMP-9, ERK1/2, MMP-2",8.263E-05,9.793E-04,8,"Angiopoietin 1, HGF, TIE2, FGF2, AKT(PKB), HGF receptor (Met), MMP-9, MMP-2",
77,Fibroblast differentiation to myofibroblasts in asthmatic airways,31,1.648E-06,2.985E-05,1.648E-06,2.985E-05,11,"ITGB1, ACTA2, alpha-5/beta-1 integrin, PI3K cat class IA, SMAD3, AKT(PKB), ITGA5, Fibronectin, TGF-beta receptor type II, EDNRA, ERK1/2",7.007E-05,8.598E-04,9,"ITGB1, ACTA2, alpha-5/beta-1 integrin, PI3K cat class IA, AKT(PKB), ITGA5, Fibronectin, TGF-beta receptor type II, EDNRA",
78,VEGF signaling in multiple myeloma,50,1.688E-06,3.020E-05,1.688E-06,3.020E-05,14,"STAT3, IL-6, ITGB1, alpha-5/beta-1 integrin, PI3K cat class IA, ERK2 (MAPK1), Caveolin-1, alpha-4/beta-1 integrin, ICAM1, PKC-alpha, Fibronectin, Semaphorin 3A, Neuropilin-1, MDR1",3.671E-05,5.208E-04,12,"IL-6, ITGB1, alpha-5/beta-1 integrin, PI3K cat class IA, Caveolin-1, alpha-4/beta-1 integrin, ICAM1, PKC-alpha, Fibronectin, Semaphorin 3A, Neuropilin-1, MDR1",
79,Development_Role of HGF in hematopoietic stem cell mobilization,21,1.783E-06,4.002E-05,2.353E-06,4.002E-05,9,"HGF, SGK1, PI3K cat class IA, RECK, AKT(PKB), HGF receptor (Met), MMP-9, MMP-14, MMP-2",1.783E-06,4.761E-05,9,"HGF, SGK1, PI3K cat class IA, RECK, AKT(PKB), HGF receptor (Met), MMP-9, MMP-14, MMP-2",
80,Transition of HCC cells to invasive and migratory phenotype,44,2.032E-06,3.574E-05,2.032E-06,3.574E-05,13,"N-cadherin, Beta-catenin, Matrilysin (MMP-7), PI3K cat class IA, SNAIL1, AKT(PKB), Caspase-8, p53, Vimentin, MMP-9, SIP1 (ZFHX1B), MMP-14, MMP-2",1.202E-03,8.062E-03,9,"N-cadherin, Matrilysin (MMP-7), PI3K cat class IA, AKT(PKB), Vimentin, MMP-9, SIP1 (ZFHX1B), MMP-14, MMP-2",
81,Signal transduction_PDGF signaling via MAPK cascades,65,2.050E-06,3.574E-05,2.050E-06,3.574E-05,16,"COX-2 (PTGS2), PDGF-C, IL-6, PDGFR-ab, MMP-13, TRPC6, PDGF-R-alpha, ERK2 (MAPK1), PDGF receptor, Tissue factor, Fra-1, MMP-9, Phox1 (PRRX1), ERK1/2, PDGF-R-beta, MMP-2",3.125E-05,4.677E-04,14,"COX-2 (PTGS2), PDGF-C, IL-6, PDGFR-ab, MMP-13, TRPC6, PDGF-R-alpha, PDGF receptor, Tissue factor, Fra-1, MMP-9, Phox1 (PRRX1), PDGF-R-beta, MMP-2",
82,Neutrophil chemotaxis in asthma,38,2.298E-06,3.957E-05,2.298E-06,3.957E-05,12,"GRO-2, GRO-1, CCL2, PLGF, IL-8, GRO-3, G-protein alpha-i family, Tissue kallikreins, TLR2, ERK1/2, ENA-78, CCL7",1.134E-05,2.117E-04,11,"GRO-2, GRO-1, CCL2, PLGF, IL-8, GRO-3, G-protein alpha-i family, Tissue kallikreins, TLR2, ENA-78, CCL7",
83,Immune response_Induction of the antigen presentation machinery by IFN-gamma,53,2.450E-06,5.740E-05,3.621E-06,5.740E-05,14,"CIITA, PSMB9, TAP1 (PSF1), HLA-DRB1, MHC class II, HLA-F, HLA-DRA1, PSMB8(LMP7), HLA-B, NLRC5, HLA-A, HLA-DMB, Cathepsin S, TAP2 (PSF2)",2.450E-06,6.297E-05,14,"CIITA, PSMB9, TAP1 (PSF1), HLA-DRB1, MHC class II, HLA-F, HLA-DRA1, PSMB8(LMP7), HLA-B, NLRC5, HLA-A, HLA-DMB, Cathepsin S, TAP2 (PSF2)",
84,HGF signaling in melanoma,39,3.129E-06,5.237E-05,3.129E-06,5.237E-05,12,"HGF, N-cadherin, Beta-catenin, PI3K cat class IA, AKT(PKB), CD44, alpha-MSH, PKC-alpha, HGF receptor (Met), Fibronectin, SLUG, ERK1/2",8.951E-05,1.042E-03,10,"HGF, N-cadherin, PI3K cat class IA, AKT(PKB), CD44, alpha-MSH, PKC-alpha, HGF receptor (Met), Fibronectin, SLUG",
85,ErbB2-induced breast cancer cell invasion,67,3.154E-06,5.237E-05,3.154E-06,5.237E-05,16,"PLAUR (uPAR), Actin cytoskeletal, PI3K cat class IA, MMP-13, AKT(PKB), ITGA4, PKC-alpha, ER81, ETS1, NGAL, EGFR, MMP-9, PLAU (UPA), ERK1/2, MMP-14, MMP-2",4.472E-05,5.913E-04,14,"PLAUR (uPAR), PI3K cat class IA, MMP-13, AKT(PKB), ITGA4, PKC-alpha, ER81, ETS1, NGAL, EGFR, MMP-9, PLAU (UPA), MMP-14, MMP-2",
86,Development_Role of cell-cell and ECM-cell interactions in oligodendrocyte differentiation and myelination,34,3.382E-06,6.929E-05,4.669E-06,6.929E-05,11,"Connexin 30, ITGB1, Myelin basic protein, Claudin-11, NGFR(TNFRSF16), Fyn, Caspr1, Tetraspanin-2, NCAM1, Connexin 45, Connexin 26",3.382E-06,8.328E-05,11,"Connexin 30, ITGB1, Myelin basic protein, Claudin-11, NGFR(TNFRSF16), Fyn, Caspr1, Tetraspanin-2, NCAM1, Connexin 45, Connexin 26",
87,Tumor-stroma interactions in pancreatic cancer,28,3.424E-06,6.926E-05,4.618E-06,6.926E-05,10,"HGF, alpha-5/beta-1 integrin, FGF2, GLI-1, PTCH1, OSF-2, HGF receptor (Met), Fibronectin, PDGF-R-beta, MMP-2",3.424E-06,8.328E-05,10,"HGF, alpha-5/beta-1 integrin, FGF2, GLI-1, PTCH1, OSF-2, HGF receptor (Met), Fibronectin, PDGF-R-beta, MMP-2",
88,Putative pathways of activation of classical complement system in major depressive disorder,28,3.424E-06,6.926E-05,4.618E-06,6.926E-05,10,"IL-1 beta, IL-6, C7, C4A protein, C6, C3, C4B protein, C3b, C4, C4b",3.424E-06,8.328E-05,10,"IL-1 beta, IL-6, C7, C4A protein, C6, C3, C4B protein, C3b, C4, C4b",
89,Signal transduction_MIF signaling pathway,60,3.462E-06,5.682E-05,3.462E-06,5.682E-05,15,"BAD, Syk, COX-2 (PTGS2), PI3K cat class IA, AKT(PKB), ICAM1, CD44, p53, SFK, IL-8, cPLA2, Lyn, G-protein alpha-i family, TLR4, ERK1/2",2.403E-04,2.346E-03,12,"Syk, COX-2 (PTGS2), PI3K cat class IA, AKT(PKB), ICAM1, CD44, SFK, IL-8, cPLA2, Lyn, G-protein alpha-i family, TLR4",
90,Transcription_Androgen Receptor nuclear signaling,46,3.538E-06,5.739E-05,3.538E-06,5.739E-05,13,"STAT3, IL-6, Beta-catenin, SMAD3, ERK2 (MAPK1), AKT(PKB), HIC5, Dsh, WNT, TGF-beta receptor type II, EGFR, Frizzled, MMP-2",6.358E-03,2.673E-02,8,"IL-6, AKT(PKB), HIC5, WNT, TGF-beta receptor type II, EGFR, Frizzled, MMP-2",
91,Immune response_HMGB1/RAGE signaling pathway,53,3.621E-06,5.740E-05,3.621E-06,5.740E-05,14,"IL-1 beta, IL-6, PI3K cat class IA, iNOS, AKT(PKB), Tissue factor, ICAM1, PLAT (TPA), IL-8, Secretogranin II, TLR4, TLR2, ERK1/2, MEF2C",1.356E-05,2.462E-04,13,"IL-1 beta, IL-6, PI3K cat class IA, iNOS, AKT(PKB), Tissue factor, ICAM1, PLAT (TPA), IL-8, Secretogranin II, TLR4, TLR2, MEF2C",
92,Basophil migration in asthma,55,3.956E-06,8.211E-05,5.822E-06,8.211E-05,14,"ST2(L), Secretoneurin, PLAUR (uPAR), Eotaxin-2, alpha-4/beta-1 integrin, ICAM1, CCL2, Fibronectin, IL-8, MMP-9, G-protein alpha-i family, IL-33, PLAU (UPA), CCL7",3.956E-06,9.353E-05,14,"ST2(L), Secretoneurin, PLAUR (uPAR), Eotaxin-2, alpha-4/beta-1 integrin, ICAM1, CCL2, Fibronectin, IL-8, MMP-9, G-protein alpha-i family, IL-33, PLAU (UPA), CCL7",
93,IL-1 beta- and Endothelin-1-induced fibroblast/ myofibroblast migration and extracellular matrix production in asthmatic airways,40,4.214E-06,6.606E-05,4.214E-06,6.606E-05,12,"IL-1 beta, COL4A1, CTGF, PDGF-R-alpha, CCL2, Fibronectin, EDNRA, ERK1/2, PDGF-R-beta, MMP-2, Versican, Collagen III",1.947E-05,3.156E-04,11,"IL-1 beta, COL4A1, CTGF, PDGF-R-alpha, CCL2, Fibronectin, EDNRA, PDGF-R-beta, MMP-2, Versican, Collagen III",
94,Th17 cells in CF,54,4.606E-06,6.926E-05,4.606E-06,6.926E-05,14,"STAT3, IL-1 beta, IL-6, MHC class II, CCL20, GRO-1, CD14, GCP2, ICAM1, IL-8, TGF-beta receptor type II, TLR4, ERK1/2, MD-2",8.269E-05,9.793E-04,12,"IL-1 beta, IL-6, MHC class II, CCL20, GRO-1, CD14, GCP2, ICAM1, IL-8, TGF-beta receptor type II, TLR4, MD-2",
95,Role of Th17 cells in asthma,28,4.618E-06,6.926E-05,4.618E-06,6.926E-05,10,"GRO-2, Myosin II, GRO-1, ICAM1, IL-8, GRO-3, EGFR, MRLC, ALOX5, ERK1/2",2.014E-04,2.032E-03,8,"GRO-2, GRO-1, ICAM1, IL-8, GRO-3, EGFR, MRLC, ALOX5",
96,Development_Extraembryonic differentiation of embryonic stem cells,35,4.661E-06,8.451E-05,6.422E-06,8.451E-05,11,"Nestin, NCAM1, HNF4, Transferrin, ID4, Gremlin, CGB3, BMP4, MAP2, BMP2, PAX6",4.661E-06,1.024E-04,11,"Nestin, NCAM1, HNF4, Transferrin, ID4, Gremlin, CGB3, BMP4, MAP2, BMP2, PAX6",
97,Cell adhesion_Plasmin signaling,35,4.661E-06,8.451E-05,6.422E-06,8.451E-05,11,"TGF-beta 2, PI3K cat class IA, FGF2, MMP-13, Collagen IV, TFPI-2, PLAT (TPA), C1 inhibitor, Fibronectin, TGF-beta receptor type II, PLAU (UPA)",4.661E-06,1.024E-04,11,"TGF-beta 2, PI3K cat class IA, FGF2, MMP-13, Collagen IV, TFPI-2, PLAT (TPA), C1 inhibitor, Fibronectin, TGF-beta receptor type II, PLAU (UPA)",
98,Development_Role of proteases in hematopoietic stem cell mobilization,18,4.914E-06,8.451E-05,6.298E-06,8.451E-05,8,"alpha-5/beta-1 integrin, DPP4, alpha-4/beta-1 integrin, CD44, Fibronectin, MMP-9, MMP-14, MMP-2",4.914E-06,1.051E-04,8,"alpha-5/beta-1 integrin, DPP4, alpha-4/beta-1 integrin, CD44, Fibronectin, MMP-9, MMP-14, MMP-2",
